Analyse fonctionnelle des emplois,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Emplois dans les fonctions et emplois des cadres des fonctions métropolitaines dans les communes en 2011,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Recensement de la population 2011 exploitation complémentaire au lieu de travail, recensement de la population 2012 - exploitation exhaustive (Mayotte)",,,,,,,,,,,,,,,,,,,,,,,,,
Champ : France (y compris les DOM),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Emploi des cadres des fonctions métropolitaines,,,,,
Commune,,Code,,,Emploi dans la fonction :,,,,,,,,,,,,,,,Fonction,,,,,
Code,Libellé,Région,Département,Emploi total,Administration publique,Agriculture,Bâtiment-Travaux Publics,Commerce inter-entreprises,"Conception, Recherche","Culture, Loisirs",Distribution,"Education, Formation","Entretien, Réparation",Fabrication,Gestion,"Transports, Logistique",Prestations Intellectuelles,"Santé, Action Sociale",Services de Proximité,"Commerce 
inter-entreprises","Conception, Recherche","Culture, Loisirs",Gestion,Prestations Intellectuelles,Total
CODGEO,LIBGEO,REG,DEP,ELT11,ADMPUB11,AGRICU11,BTP11,COMINT11,CONREC11,CULLOI11,DISTRI11,EDUFOR11,ENTREP11,FABRIC11,GESTIO11,LOGIST11,PREINT11,SANSOC11,SERPRO11,COMINT_CAD11,CONREC_CAD11,CULLOI_CAD11,GESTIO_CAD11,PREINT_CAD11,CFM11
01090,Châtenay,84,01,65,0,8,0,8,0,0,0,8,3,21,0,0,0,4,12,0,0,0,0,0,0
01092,Châtillon-la-Palud,84,01,171,8,4,9,4,0,12,12,9,24,12,11,0,16,25,25,0,0,12,0,8,20
01093,Châtillon-sur-Chalaronne,84,01,"2,852",118,112,181,118,85,17,230,165,250,505,332,163,57,272,247,39,16,17,55,18,144
01094,Chavannes-sur-Reyssouze,84,01,70,8,8,0,0,0,4,0,0,0,12,8,8,4,0,19,0,0,4,4,0,8
01095,Nivigne et Suran,84,01,159,18,12,4,8,1,0,4,8,10,39,9,0,0,9,36,0,1,0,5,0,6
01096,Chaveyriat,84,01,150,8,31,36,4,4,0,8,4,0,8,8,12,0,8,20,0,0,0,0,0,0
01098,Chazey-Bons,84,01,407,8,20,40,4,0,11,36,11,36,63,66,71,11,4,24,4,0,7,28,11,51
01099,Chazey-sur-Ain,84,01,332,24,36,33,32,0,20,4,28,36,4,28,12,8,17,49,3,0,0,4,4,11
01100,Cheignieu-la-Balme,84,01,16,0,8,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
01101,Chevillard,84,01,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01102,Chevroux,84,01,132,4,28,20,8,0,0,8,4,0,8,8,16,0,0,28,4,0,0,4,0,8
01103,Chevry,84,01,120,8,4,4,4,0,4,4,16,17,9,8,4,8,5,25,0,0,4,0,4,8
01104,Chézery-Forens,84,01,131,27,0,12,7,4,0,24,4,0,19,0,15,0,7,12,0,0,0,0,0,0
01105,Civrieux,84,01,257,8,20,45,12,0,11,12,16,32,12,0,5,4,35,44,0,0,0,0,0,0
01106,Cize,84,01,24,0,8,8,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0
01107,Cleyzieu,84,01,12,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0
01108,Coligny,84,01,328,16,12,16,4,0,12,32,20,43,32,25,12,0,77,28,0,0,0,21,0,21
01109,Collonges,84,01,247,17,22,38,0,0,4,38,14,4,4,9,13,4,23,56,0,0,4,4,4,13
01110,Colomieu,84,01,8,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
01111,Conand,84,01,20,4,0,4,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0
01112,Condamine,84,01,95,4,8,8,0,0,0,4,16,8,8,12,12,0,15,0,0,0,0,8,0,8
01113,Condeissiat,84,01,196,12,52,16,0,0,0,0,16,12,8,16,12,4,0,48,0,0,0,4,4,8
01114,Confort,84,01,202,12,8,16,8,0,0,3,4,15,80,7,14,3,32,0,0,0,0,0,0,0
01115,Confrançon,84,01,219,12,31,39,4,4,4,4,16,19,24,7,12,0,12,32,4,4,4,3,0,15
01116,Contrevoz,84,01,65,0,4,4,0,0,0,12,29,8,0,0,0,0,4,4,0,0,0,0,0,0
01117,Conzieu,84,01,18,5,0,0,5,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0
01118,Corbonod,84,01,283,20,24,24,0,0,12,12,4,20,16,24,16,4,80,29,0,0,8,8,0,16
01121,Corlier,84,01,8,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,4
01123,Cormoranche-sur-Saône,84,01,214,4,4,63,11,0,0,12,4,19,42,4,16,0,0,36,4,0,0,4,0,8
01124,Cormoz,84,01,69,0,25,4,0,0,0,4,0,4,8,0,8,0,4,12,0,0,0,0,0,0
