Revenus fiscaux localisés des ménages - Année 2009,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi 2010,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Écart interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€),Indice de Gini
ZE2010,REG,LIBGEO,NBUC09,RFUCQ109,RFUCQ209,RFUCQ309,RFUCIQ09,RFUCD109,RFUCD209,RFUCD309,RFUCD409,RFUCD609,RFUCD709,RFUCD809,RFUCD909,RFUCRD09,RFUCET09,RFUCMO09,RFUCGI09
2407,24,Le Blanc,15732.2,11085,15747,21382,10297,6600,9854,12097,13983,17785,19957,23149,28969,4.4,12409.27,17505.27,0.3186
2408,24,Issoudun,14560.3,12169,17367,22889,10720,7498,10844,13335,15395,19288,21404,24726,30651,4.1,13917.60,19096.81,0.3149
2409,24,Châteauroux,122111.6,11648,16835,22869,11221,7054,10403,12749,14861,18903,21345,24667,30804,4.4,15317.71,18768.65,0.3229
2410,24,Chinon,24031.0,12066,17603,24559,12493,7566,10829,13263,15399,19997,22821,26498,33195,4.4,14120.05,19827.31,0.3228
2411,24,Loches,16182.4,11643,16546,22661,11019,7438,10470,12689,14665,18613,21034,24538,30669,4.1,13822.48,18659.62,0.3192
2412,24,Tours,348655.3,13022,18715,25709,12687,7899,11649,14289,16534,21076,23921,27936,35163,4.5,19000.11,21248.15,0.3278
2413,24,Blois,118506.5,12968,18661,25357,12390,7600,11528,14222,16460,20977,23697,27434,34219,4.5,15897.20,20759.09,0.3211
2414,24,Romorantin-Lanthenay,39731.2,11719,16940,22854,11135,6921,10506,12930,15017,19041,21422,24675,30489,4.4,16103.84,18808.49,0.3212
2415,24,Vendôme,45857.4,12709,17549,23739,11030,7844,11476,13732,15683,19688,22213,25611,31967,4.1,18361.99,19927.99,0.3182
2416,24,Gien,52578.1,12009,17617,24039,12030,6810,10561,13310,15536,19824,22427,26042,32321,4.7,15500.49,19493.03,0.3265
2417,24,Montargis,85365.0,11876,17728,24261,12385,6666,10381,13233,15574,20010,22649,26285,32910,4.9,19531.43,19848.25,0.3376
2418,24,Orléans,314253.2,13566,19728,27223,13657,7850,11993,14943,17353,22285,25325,29487,36863,4.7,19453.44,22188.11,0.3271
2419,24,Pithiviers,34303.4,12864,18390,24842,11978,8062,11525,14091,16300,20565,23199,26746,33340,4.1,16524.16,20509.73,0.3115
2501,25,Bayeux,35201.0,11562,17069,23383,11821,7083,10290,12785,15021,19251,21877,25338,31791,4.5,16596.91,19171.09,0.3311
2502,25,Caen,305427.5,12721,18461,25347,12626,7562,11265,13985,16255,20819,23633,27479,34519,4.6,21366.81,20903.68,0.3313
2503,25,Honfleur,37021.3,12088,17793,25747,13659,7353,10767,13376,15597,20364,23635,28394,37893,5.2,24860.43,22138.64,0.3798
2504,25,Lisieux,47505.2,10942,16270,22528,11586,6123,9600,12131,14237,18528,20999,24363,30943,5.1,15899.23,18435.74,0.3455
2505,25,Vire,26842.3,11213,16088,21582,10369,6653,9956,12293,14243,17959,20262,23140,28333,4.3,16795.64,17783.85,0.3217
2506,25,Avranches,61495.1,11519,16241,21869,10350,7353,10469,12539,14389,18190,20496,23546,29253,4.0,17883.90,18292.56,0.3189
2507,25,Cherbourg-Octeville,139875.4,11604,17027,23509,11905,6944,10266,12779,14917,19284,21902,25420,31487,4.5,16806.85,18977.34,0.3254
2508,25,Coutances,40203.7,11343,16326,22301,10958,6875,10183,12461,14456,18386,20826,24300,31047,4.5,17294.83,18730.72,0.3367
2509,25,Granville,35486.6,12132,17451,24317,12185,7651,10870,13256,15338,19801,22540,26747,34498,4.5,18697.48,20458.42,0.3417
2510,25,Saint-Lô,56999.3,12025,17093,22950,10925,7373,10753,13131,15163,19142,21513,24740,30361,4.1,14351.06,18865.27,0.3127
2511,25,Argentan,27705.8,11163,16339,22125,10962,6402,9873,12302,14428,18409,20707,23831,29226,4.6,14449.70,17991.40,0.3275
2512,25,Flers,68933.2,11530,16301,21787,10257,6951,10263,12619,14527,18184,20432,23467,29012,4.2,14244.43,18067.78,0.3168
2513,25,L'Aigle,23413.9,10679,16128,22142,11463,5960,9390,11939,14059,18217,20577,24106,30175,5.1,13993.10,17944.06,0.3392
2601,26,Beaune,33972.8,13071,18973,26163,13092,8118,11681,14431,16738,21466,24380,28531,37270,4.6,22630.34,22546.87,0.3524
2602,26,Chatillon,12815.4,11401,16235,22387,10986,6674,10218,12519,14470,18349,20791,24140,30220,4.5,13576.81,18259.58,0.3254
2603,26,Dijon,275322.7,13547,19537,26817,13270,8274,12098,14857,17204,22026,24994,29051,36557,4.4,17552.91,22160.96,0.3258
2604,26,Montbard,21911.5,12004,17124,23148,11144,7208,10743,13092,15119,19208,21667,25076,30782,4.3,23064.76,18910.15,0.3192
2605,26,Morvan,24949.1,10552,15645,22013,11461,5832,9358,11645,13638,17769,20452,23728,29945,5.1,14806.70,17499.02,0.3364
2606,26,Nevers,84207.7,11639,17319,23511,11872,6147,10122,12932,15185,19487,21975,25373,31441,5.1,15978.17,18959.90,0.3335
2607,26,Autun,23655.6,11387,16377,22467,11080,6822,10164,12444,14410,18429,20935,24211,30676,4.5,14351.02,18448.00,0.3273
2608,26,Chalon-sur-Saône,131848.2,12327,17805,24275,11948,7553,10978,13515,15697,20059,22676,26273,32740,4.3,15587.69,20035.65,0.3252
2609,26,Louhans,24887.3,11423,16398,22019,10596,7268,10374,12467,14455,18308,20552,23709,28969,4.0,13134.75,17878.19,0.3069
2610,26,Le Creusot - Montceau,71416.9,11481,16580,22439,10958,6760,10192,12678,14630,18677,21030,24179,29915,4.4,14035.04,18311.76,0.3190
2611,26,Charolais,59172.9,11781,16354,22027,10246,7587,10654,12798,14617,18313,20585,23742,29640,3.9,12721.23,18289.71,0.3069
2612,26,Auxerre,142786.1,11836,17573,24145,12309,6727,10426,13115,15415,19810,22465,26181,32940,4.9,17423.25,19812.26,0.3399
2613,26,Avallon,16532.3,11337,16614,22615,11278,6512,9946,12503,14655,18738,21081,24447,30921,4.7,19843.68,18820.33,0.3394
2614,26,Sens,72609.7,12383,18103,24590,12207,7330,10962,13646,15941,20376,22961,26545,33041,4.5,15147.36,20103.40,0.3220
3110,31,Roubaix - Tourcoing,272710.1,9217,15940,23223,14006,3927,7746,10705,13405,18531,21446,25410,32879,8.4,19930.80,18591.22,0.4011
3111,31,Lille,502821.7,11475,18513,26872,15397,5670,9732,13038,15840,21363,24757,29453,37991,6.7,21788.18,21598.51,0.3804
3112,31,Dunkerque,168646.8,10523,16334,23103,12580,5938,9179,11759,14057,18761,21488,25084,31398,5.3,14855.01,18426.59,0.3463
3113,31,Flandre - Lys,79969.3,12221,17611,23952,11731,7766,10988,13380,15560,19801,22385,25908,31941,4.1,16331.75,19780.20,0.3170
