Revenus fiscaux des ménages - Année 2003,,,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,,,
"© Insee     Source : Insee-DGI, Revenus fiscaux des ménages",,,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,,,
,,,"Nb de ménages
au RP 1999",PSDC99,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),"Intervalle
inter-quartiles (€)",1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),"Rapport
inter-déciles",Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,MEN99,PSDC99,NBUC03,RFUCQ103,RFUCQ203,RFUCQ303,RFUCIQ03,RFUCD103,RFUCD203,RFUCD303,RFUCD403,RFUCD603,RFUCD703,RFUCD803,RFUCD903,RFUCRD03,RFUCET03,RFUCMO03,RFUCGI03
2219,22,Santerre-Somme,33633,89277,57137.8,9033,13458,18584,9551,5567,8009,9972,11767,15266,17353,20098,25245,4.5,12500.61,15286.47,0.3338
2231,22,Saint-Quentin,52365,134597,85601.2,8358,13445,19190,10832,4426,7172,9469,11551,15458,17761,20916,26431,6.0,13392.45,15375.76,0.3664
2232,22,Chauny-Tergnier-La Fère,25614,65968,42173.6,8543,13200,18560,10017,4900,7511,9539,11418,15033,17293,20094,24979,5.1,13838.63,14733.82,0.3383
2241,22,Thiérache,26691,68822,43387.5,7581,11971,17012,9431,4126,6567,8564,10317,13748,15802,18481,23007,5.6,10493.48,13418.71,0.3493
2242,22,Laonnois,36871,96905,61472.1,9097,13956,19680,10583,5420,8019,10128,12025,15941,18266,21347,26903,5.0,11999.59,15799.92,0.3403
2307,23,Pays-de-Bray,14001,35025,23142.0,9573,13916,19175,9602,5832,8640,10477,12180,15838,17990,20599,25537,4.4,12100.42,15590.07,0.3216
2308,23,Vallée-de-la-Bresle,18646,47672,31308.8,9751,13860,19039,9288,6207,8693,10673,12268,15634,17714,20611,25838,4.2,14695.98,15894.54,0.3251
2311,23,Fécamp,15715,40081,26268.6,9327,13725,19308,9981,5823,8316,10258,12021,15639,17878,21032,26190,4.5,13286.39,15744.25,0.3336
2313,23,Pont-Audemer,16073,40450,27268.6,9843,14248,19972,10129,6231,8749,10780,12507,16236,18469,21743,27357,4.4,13056.37,16446.91,0.3313
2314,23,Bernay,24552,62183,41126.0,10067,14671,20265,10198,6327,8969,11102,12897,16545,18799,22019,27709,4.4,15025.99,16739.48,0.3288
2316,23,Verneuil-sur-Avre,11024,27318,17793.4,10038,14424,19681,9644,6193,8938,10976,12824,16264,18458,21400,26922,4.3,12959.42,16357.74,0.3232
2317,23,Vernon,32697,88767,57309.3,10805,16149,22383,11578,6395,9509,11957,14102,18255,20799,24372,30662,4.8,14095.06,18201.69,0.3317
2318,23,Gisors,10346,27529,17907.9,10568,15242,20803,10235,6832,9541,11512,13439,17183,19428,22366,27596,4.0,13580.21,17171.97,0.3146
2321,23,Rouen,288745,724721,462970.9,10191,15535,21700,11509,5670,8885,11385,13514,17704,20186,23531,29495,5.2,13450.63,17423.50,0.3397
2322,23,Dieppe,38794,98451,64710.1,9430,14022,19471,10041,5738,8333,10459,12253,15928,18095,21118,26644,4.6,12598.59,15944.22,0.3352
2323,23,Le Havre,141181,360488,229302.9,9341,14547,20654,11313,5059,8066,10510,12578,16690,19195,22484,28157,5.6,13602.38,16398.54,0.3485
2324,23,Lillebonne,22382,59573,38863.6,10156,14883,20673,10517,6523,9011,11185,13015,16886,19268,22310,27665,4.2,12687.84,16743.85,0.3156
2325,23,Evreux,64407,167934,109773.9,10961,16210,22192,11231,6496,9677,12137,14237,18314,20696,24047,29948,4.6,13684.91,18105.97,0.3245
2411,24,Bourges,74661,179699,118167.6,10430,15475,21298,10868,6090,9259,11569,13585,17469,19823,23061,28566,4.7,12650.58,17138.41,0.3245
2412,24,Vierzon,20699,48766,31699.6,9527,14177,19233,9706,5375,8372,10522,12391,15946,17959,20698,25619,4.8,11226.21,15503.59,0.3252
2413,24,Saint-Amand-Montrond,20587,48187,31537.0,9404,13788,18861,9457,5805,8372,10293,12076,15496,17613,20419,25523,4.4,12358.80,15380.73,0.3234
2414,24,Aubigny,16218,37776,25156.0,9854,14354,19943,10089,6306,8851,10842,12563,16222,18561,21646,27776,4.4,14417.39,16659.47,0.3374
2421,24,Chartres,75461,194152,128012.8,12070,16925,22899,10829,7734,10889,13130,15064,18997,21386,24736,30543,3.9,13968.06,18953.73,0.3044
2422,24,Dreux,43769,120298,77170.3,9979,15266,21266,11287,5757,8694,11156,13274,17399,19849,23074,28787,5.0,13166.50,17090.57,0.3356
2423,24,Châteaudun,23263,56886,37229.2,10940,15150,20311,9371,7213,9909,11813,13504,16947,19030,21918,27046,3.7,12303.37,16922.47,0.2986
2424,24,Nogent-le-Rotrou,15121,36329,23813.7,10389,14637,19623,9234,6624,9421,11282,13011,16327,18418,21153,26078,3.9,11240.08,16216.22,0.3041
2431,24,Châteauroux,49918,117553,77140.6,10263,14759,20218,9955,6353,9171,11264,12999,16635,18812,21861,27243,4.3,13074.57,16584.01,0.3204
2432,24,Argenton-sur-Creuse,21795,49806,33809.3,9167,13208,18253,9087,5829,8260,10035,11649,14933,16975,19871,25177,4.3,11622.73,15063.45,0.3257
2433,24,Issoudun,15133,34852,23605.4,10271,14437,19515,9244,6653,9322,11208,12901,16167,18219,20945,25678,3.9,11649.19,16115.22,0.3049
2434,24,La Châtre,12645,28928,19713.4,9134,13129,18292,9158,6101,8287,9982,11598,15002,17099,19787,24654,4.0,11403.31,15023.29,0.3190
2441,24,Tours,161600,379742,249722.4,11048,16070,22367,11319,6663,9816,12144,14118,18222,20767,24274,30854,4.6,13890.54,18294.29,0.3300
2442,24,Amboise,26429,67683,45998.6,10948,15533,21158,10210,7309,9918,11969,13744,17464,19755,22926,28852,3.9,12140.87,17492.01,0.3063
2443,24,Loches,20154,48773,32429.1,9637,13598,18644,9007,6305,8719,10471,12054,15311,17367,20245,25381,4.0,11600.11,15462.55,0.3170
2444,24,Chinon,23222,57805,37887.6,9790,13957,19160,9370,6392,8840,10657,12298,15754,17858,20869,26039,4.1,11770.93,15710.48,0.3120
2451,24,Blois,73073,177282,117350.2,11161,15961,21810,10649,6948,10009,12185,14093,17939,20322,23622,29489,4.2,12575.19,17851.35,0.3143
2452,24,Vendôme,28437,68014,45790.0,10658,14805,19989,9331,6958,9681,11565,13164,16623,18741,21603,27056,3.9,18295.94,16842.79,0.3110
2453,24,Romorantin,29091,69672,46661.4,10205,14757,20103,9898,6606,9165,11180,12976,16589,18800,21743,27126,4.1,12768.35,16607.66,0.3160
2461,24,Orléans,152572,382314,250146.9,11719,17203,23658,11939,6859,10363,12927,15113,19386,22046,25599,31948,4.7,14182.10,19158.02,0.3211
2462,24,Montargis,47710,114614,78791.3,10347,15134,20804,10457,6253,9164,11401,13322,17091,19391,22436,27918,4.5,13887.89,16987.61,0.3249
2463,24,Pithiviers,22300,57120,38158.4,11201,15718,21327,10126,7294,10132,12134,13962,17670,19926,22890,28169,3.9,12936.13,17550.76,0.3002
2464,24,Gien,26104,64078,42920.9,10356,15143,20812,10456,6171,9188,11405,13320,17130,19456,22435,27613,4.5,12809.84,16857.09,0.3205
2501,25,Caen-Bayeux,192255,485859,311820.5,10275,15277,21257,10982,6166,9057,11360,13333,17335,19766,23087,29080,4.7,13817.88,17325.76,0.3346
2502,25,Lisieux,48715,119715,80185.8,9369,14011,19912,10544,5636,8223,10393,12227,15975,18403,21756,28570,5.1,18526.17,16685.34,0.3627
2503,25,Vire,22755,55463,35942.4,9199,13065,17762,8563,5798,8304,10017,11553,14701,16605,19174,23682,4.1,12452.24,14709.47,0.3185
2504,25,Cherbourg-Octeville,78112,198740,127576.3,9402,14012,19563,10161,5804,8330,10377,12210,15931,18209,21153,26215,4.5,11661.70,15688.69,0.3252
2505,25,Saint-Lô,35661,88213,57972.3,9985,14187,19359,9374,6303,8958,10887,12541,16003,18099,20985,26140,4.1,11429.64,15943.23,0.3135
2506,25,Avranches-Granville,48251,114812,78940.3,9925,13978,19384,9459,6566,9007,10745,12345,15774,18017,21076,26716,4.1,13466.98,16303.96,0.3274
2507,25,Coutances,24375,59516,40294.7,9244,13393,18612,9368,5888,8267,10175,11774,15109,17289,20230,25785,4.4,12477.59,15463.04,0.3329
2508,25,Flers,44919,110532,72377.4,9655,13677,18382,8727,6197,8679,10551,12129,15299,17221,19811,24538,4.0,11433.30,15290.22,0.3108
2509,25,Alençon-Argentan,42870,105607,67195.6,9549,14079,19559,10010,5375,8365,10548,12326,16047,18166,21219,26607,5.0,12545.65,15846.42,0.3356
2510,25,Mortagne-au-Perche-L'Aigle,34106,83736,55230.2,9552,13860,18907,9355,5847,8492,10499,12186,15591,17644,20407,25625,4.4,11490.17,15517.15,0.3233
2610,26,Mâcon,45701,108503,73465.2,10362,15230,21211,10849,6368,9213,11439,13361,17280,19739,23077,29190,4.6,13341.04,17340.50,0.3295
2612,26,Dijon,146174,350448,225261.0,11633,16841,23211,11578,7257,10375,12751,14795,18969,21580,25166,31601,4.4,13882.80,19050.41,0.3205
2613,26,Auxerre,54633,132758,87388.3,10286,15156,21007,10721,6273,9124,11397,13336,17236,19585,22817,28645,4.6,16559.45,17387.27,0.3352
2615,26,Nevers,61880,142539,93146.7,9970,14668,20295,10325,5743,8784,11008,12856,16633,18910,21946,27239,4.7,12555.30,16352.36,0.3277
2641,26,Chalon-sur-Saône,61458,149825,99937.0,10438,15077,20806,10368,6571,9336,11439,13294,17068,19363,22544,28160,4.3,12762.68,17095.19,0.3218
2643,26,Châtillon-sur-Seine,9382,23059,14625.4,9345,13368,18387,9042,5846,8366,10174,11769,14997,17124,20033,25354,4.3,11150.17,15157.58,0.3204
2644,26,Sens,39295,98620,65752.3,10389,15307,20975,10586,6614,9312,11489,13431,17285,19607,22603,28162,4.3,13737.60,17188.32,0.3209
2651,26,Montbard,16930,41117,26725.8,9767,13857,19121,9354,6060,8715,10627,12238,15723,17855,20655,25607,4.2,13475.27,15613.12,0.3186
2652,26,Avallon,18609,45788,29303.0,9342,13803,19087,9746,5785,8277,10282,12150,15542,17694,20695,26097,4.5,15220.63,15714.30,0.3360
2654,26,Cosne-sur-Loire,21628,48154,32682.1,9664,13968,19395,9732,5886,8608,10626,12289,15825,18039,20983,26319,4.5,12105.71,15865.54,0.3264
2656,26,Autun,17574,41612,26981.5,9458,13767,19037,9579,5919,8423,10353,12037,15558,17734,20641,26057,4.4,11679.34,15566.70,0.3253
2660,26,Joigny,22803,56055,36853.0,9587,14204,19685,10098,5660,8495,10633,12434,16150,18327,21261,26565,4.7,11647.84,15860.66,0.3272
2662,26,Decize,15179,34505,23169.5,9296,13468,18364,9068,5849,8313,10107,11827,15171,17039,19824,24466,4.2,10384.71,14891.87,0.3138
2664,26,Le Creusot,22056,53097,33563.6,9612,13956,19076,9464,5840,8513,10580,12269,15768,17833,20478,25547,4.4,10548.60,15435.22,0.3137
2666,26,Beaune,36727,92131,60660.9,10534,15204,20907,10373,6852,9475,11533,13360,17133,19462,22747,29126,4.3,14771.72,17721.92,0.3331
2672,26,Montceau-les-Mines,24192,56356,37217.8,9601,13633,18390,8789,6079,8626,10526,12186,15297,17225,19827,24504,4.0,10953.26,15130.69,0.3077
2680,26,Charollais,36060,86980,57427.1,9852,13666,18515,8663,6551,8951,10660,12170,15308,17316,19936,24908,3.8,10461.68,15338.47,0.3027
2695,26,Louhans,20675,48520,33418.6,9500,13635,18430,8930,6591,8743,10293,11941,15288,17291,19876,24456,3.7,10914.37,15198.16,0.3038
3110,31,Roubaix-Tourcoing,149403,417775,257994.1,7981,13546,19585,11604,3742,6716,9193,11469,15638,18082,21413,27612,7.4,15590.07,15621.18,0.3873
3111,31,Lille,302755,764251,478716.6,9630,15532,22564,12934,4921,8175,10950,13296,17963,20816,24728,31786,6.5,15816.34,17978.31,0.3720
3112,31,Dunkerque,95298,263018,164189.8,8578,13472,19295,10717,5059,7494,9633,11555,15503,17896,20986,26211,5.2,11838.16,15300.88,0.3468
3113,31,Flandre-Lys,41187,116684,74118.5,9990,14425,19992,10002,6449,8987,10923,12698,16361,18663,21650,26950,4.2,12279.70,16398.02,0.3173
3114,31,Douaisis,89335,246987,154188.2,8317,13116,19060,10743,4573,7250,9375,11315,15183,17614,20811,26259,5.7,11933.69,15027.14,0.3565
3115,31,Valenciennois,129722,348994,217245.1,7385,12190,17946,10561,3707,6358,8425,10349,14174,16564,19625,24976,6.7,12485.58,14084.97,0.3763
3116,31,Cambresis,67530,176360,113060.6,8743,13258,18784,10041,5042,7635,9733,11519,15149,17390,20391,25754,5.1,12918.26,15256.79,0.3508
3117,31,Sambre-Avesnois,88672,238466,148658.2,7031,11871,17684,10653,3145,5945,8045,9994,13900,16286,19443,24803,7.9,11373.91,13684.43,0.3844
3121,31,Artois-Ternois,86840,231265,148110.7,9495,14402,20452,10957,5747,8400,10528,12447,16520,18995,22276,28374,4.9,14053.28,16638.25,0.3459
3122,31,Lens-Hénin,135963,371443,230427.7,6969,11643,16658,9689,3472,6012,7926,9799,13372,15417,18143,22688,6.5,10314.77,12931.35,0.3624
3123,31,Béthune-Bruay,107282,287064,182275.0,8506,12954,18473,9967,4937,7439,9445,11287,14856,17105,20077,25324,5.1,11834.24,14784.07,0.3466
3124,31,Saint-Omer,40509,112845,71489.4,8550,12959,18291,9741,5270,7570,9456,11201,14838,16982,19786,24986,4.7,14488.20,14964.49,0.3484
3125,31,Calaisis,57909,158989,100923.1,8075,12840,18518,10443,4388,7041,9076,10965,14864,17132,20159,25158,5.7,11694.88,14558.83,0.3579
3126,31,Boulonnais,60959,163159,103527.4,8016,12761,18606,10590,4442,6981,9006,10875,14739,17142,20382,26066,5.9,12933.14,14881.13,0.3717
3127,31,Berck-Montreuil,38329,99288,66504.6,8848,13459,19317,10469,5308,7766,9815,11643,15514,17901,21129,27359,5.2,13646.38,15870.13,0.3601
4111,41,Longwy,33473,82700,54641.9,7333,12695,18581,11248,0,5600,8727,10943,14695,17139,20296,25565,,11634.51,13863.09,0.3973
4112,41,Briey,29580,74350,49189.2,9876,13880,19155,9279,6065,8875,10730,12296,15738,17943,20639,25324,4.2,11127.02,15435.31,0.3119
4113,41,Thionville,119326,314934,202887.4,9611,14357,20161,10550,4600,8352,10664,12518,16359,18743,21865,27270,5.9,12756.33,15880.68,0.3453
4121,41,Lunéville,29892,76782,49946.8,9533,13880,18947,9414,5782,8469,10522,12232,15588,17697,20440,25289,4.4,11510.55,15323.28,0.3163
4122,41,Nancy,173605,415106,259690.4,10747,16215,22733,11986,5935,9379,11935,14107,18476,21121,24742,31266,5.3,14621.54,18344.74,0.3432
4123,41,Toul,23403,64841,41600.4,10333,15021,20535,10203,6689,9203,11323,13136,17001,19218,22171,27345,4.1,11258.53,16599.43,0.3072
4130,41,Metz,107584,272051,172783.4,10519,16174,23085,12566,5813,9183,11724,13994,18594,21389,25204,32057,5.5,17241.10,18708.27,0.3568
4141,41,Bassin houiller,98534,265797,169674.8,9759,14180,19688,9929,5863,8660,10761,12525,16118,18372,21304,26424,4.5,12861.40,15961.95,0.3214
4142,41,Sarreguemines,32075,84847,54795.9,10933,15312,21041,10108,7153,9871,11880,13542,17324,19672,22726,28183,3.9,13879.50,17398.99,0.3115
4150,41,Sarrebourg,32339,85818,54640.8,10351,14570,19576,9225,6946,9377,11234,12917,16349,18325,21019,25720,3.7,15211.42,16229.07,0.3015
4160,41,Meuse du nord,33257,83953,54047.0,9307,13552,18833,9526,5500,8250,10219,11912,15394,17541,20401,25450,4.6,11622.79,15164.16,0.3275
4171,41,Bar-le-Duc,25896,64400,41816.4,10263,14867,20303,10040,6403,9123,11243,13053,16800,19004,21888,27059,4.2,11962.14,16558.18,0.3137
4172,41,Commercy,17007,43845,28731.0,9321,13482,18461,9140,5940,8342,10163,11814,15225,17235,19883,24489,4.1,12429.04,15016.77,0.3150
4180,41,Vosges de l'ouest,24588,61656,39874.9,10170,14579,20025,9855,6444,9142,11071,12866,16435,18666,21729,26994,4.2,14042.44,16402.46,0.3149
4191,41,Epinal,62069,156241,100890.2,9564,14169,19562,9998,5697,8442,10553,12373,16036,18213,21179,26591,4.7,12873.73,15954.72,0.3325
4192,41,Remiremont-Gérardmer,32128,80311,52637.9,10525,14518,19501,8976,6869,9561,11425,13010,16169,18247,21004,26063,3.8,14566.67,16349.19,0.3040
4193,41,Saint-Dié-des-Vosges,33922,82744,54871.0,9662,14049,19141,9479,5827,8616,10655,12454,15826,17874,20639,25723,4.4,11983.36,15678.92,0.3198
4271,42,Wissembourg,18573,50055,33121.7,12620,17706,23899,11279,8939,11521,13648,15665,19940,22456,25698,31466,3.5,13324.14,19630.86,0.2846
4276,42,Strasbourg,221944,535735,338598.5,10804,17050,24125,13321,5683,9281,12194,14659,19498,22376,26303,33591,5.9,18308.07,19512.78,0.3622
4284,42,Guebwiller,21915,58489,38659.2,12479,17285,23208,10729,8424,11359,13556,15425,19384,21732,24992,30525,3.6,11996.41,18957.71,0.2815
4285,42,Thann-Cernay,23769,63829,41604.7,12063,16801,22448,10385,7908,10900,13077,14996,18758,21048,24060,29123,3.7,12302.74,18422.20,0.2873
4286,42,Mulhouse,111107,283884,185171.7,10689,16549,23633,12944,5912,9248,11997,14292,18976,21848,25722,32452,5.5,15906.35,18846.36,0.3480
