Revenus fiscaux localisés des ménages - Année 2006,,,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,,,
"© Insee     Source : Insee-DGI, Revenus fiscaux localisés des ménages",,,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,,,
,,,"Nb de ménages
au RP 1999",PSDC99,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),"Intervalle
inter-quartiles (€)",1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),"Rapport
inter-déciles",Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,MEN99,PSDC99,NBUC06,RFUCQ106,RFUCQ206,RFUCQ306,RFUCIQ06,RFUCD106,RFUCD206,RFUCD306,RFUCD406,RFUCD606,RFUCD706,RFUCD806,RFUCD906,RFUCRD06,RFUCET06,RFUCMO06,RFUCGI06
2615,26,Nevers,61880,142539,92586.7,10928,16099,22056,11128,6162,9606,12103,14189,18165,20563,23835,29592,4.8,14556.64,17843.13,0.3304
2641,26,Chalon-sur-Saône,61458,149825,101612.6,11622,16626,22716,11094,7215,10403,12704,14676,18707,21218,24634,30762,4.3,14825.08,18874.66,0.3244
2643,26,Châtillon-sur-Seine,9382,23059,14498.8,10377,14871,20289,9912,6491,9334,11367,13204,16712,18868,21963,27624,4.3,16526.43,16951.58,0.3265
2644,26,Sens,39295,98620,67746.0,11441,16659,22695,11254,7106,10197,12628,14691,18796,21183,24459,30311,4.3,15334.24,18693.82,0.3211
2651,26,Montbard,16930,41117,26894.7,11063,15567,21167,10104,7056,9915,12017,13820,17483,19731,22833,28496,4.0,13739.35,17468.83,0.3139
2652,26,Avallon,18609,45788,29249.0,10427,15140,20906,10479,6274,9263,11484,13422,17143,19471,22607,28971,4.6,16518.99,17306.96,0.3335
2654,26,Cosne-sur-Loire,21628,48154,32723.9,10642,15393,21161,10519,6270,9426,11698,13576,17376,19718,22848,28495,4.5,12895.69,17235.02,0.3241
2656,26,Autun,17574,41612,26845.8,10689,15273,20975,10286,6682,9595,11665,13484,17212,19522,22822,28603,4.3,12817.71,17334.06,0.3217
2660,26,Joigny,22803,56055,37616.1,10634,15754,21481,10847,6260,9405,11773,13841,17717,20062,23148,28819,4.6,12970.76,17466.54,0.3256
2662,26,Decize,15179,34505,22930.2,10242,14733,20049,9807,6493,9233,11252,13040,16627,18794,21571,26490,4.1,12192.25,16360.85,0.3143
2664,26,Le Creusot,22056,53097,33259.1,10695,15491,21215,10520,6583,9571,11712,13612,17415,19745,22859,28312,4.3,11945.45,17169.78,0.3157
2666,26,Beaune,36727,92131,61718.7,11876,16882,22993,11117,7746,10681,12930,14888,18959,21421,25031,32198,4.2,16859.48,19703.70,0.3324
2672,26,Montceau-les-Mines,24192,56356,36840.0,10725,15136,20310,9585,6631,9626,11794,13537,16921,19016,21827,27175,4.1,12788.11,16795.01,0.3106
2680,26,Charollais,36060,86980,57611.7,10929,15132,20415,9486,7270,9910,11838,13497,16965,19093,22080,27571,3.8,14033.77,17106.83,0.3076
2695,26,Louhans,20675,48520,34940.6,10605,15034,20201,9596,7177,9654,11495,13268,16849,18936,21718,26593,3.7,11685.94,16654.31,0.3021
