Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2013,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 25/04/2019      Découpage géographique au 01/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés,1er quartile,Médiane,3e quartile,Ecart interquartile,1er décile,2e décile,3e décile ,4e décile ,6e décile,7e décile,8e décile ,9e décile,Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des salaires et traitements hors chômage,Part des indemnités chômage,Part des revenus d'activités non salariées,"Part des pensions, retraites et rentes",Part des autres revenus
CODGEO,LIBGEO,NBMEN13,NBPERS13,NBUC13,PMIMP13,Q113,Q213,Q313,Q3_Q1,D113,D213,D313,D413,D613,D713,D813,D913,RD,S80S2013,GI13,PTSA13,PCHO13,PBEN13,PPEN13,PAUT13
1111,Poissy,94154,251134.0,161959.2,69.9,14444.0,23334.0,34160.0,19716.0,8054.0,12446.0,16336.0,19850.0,27086.0,31540.0,37366.0,47370.0,5.9,7.5,0.4,69.5,2.9,3.1,20.8,3.7
1112,Rambouillet,28742,72631.5,48113.5,78.0,19690.0,27720.0,37666.0,17976.0,13164.0,17860.0,21430.0,24540.0,31128.0,35216.0,40822.0,51022.0,3.9,5.0,0.3,65.3,2.2,3.9,23.5,5.1
1113,Plaisir,20468,54662.5,35338.4,77.1,17958.0,26592.0,36568.0,18610.0,10624.0,15768.0,19814.0,23342.0,30196.0,34136.0,39358.0,48770.0,4.6,5.6,0.3,71.1,2.4,3.1,19.6,3.8
1114,Étampes,24151,61620.5,40409.7,66.0,14610.0,21842.0,29892.0,15282.0,8372.0,12828.0,16204.0,19126.0,24710.0,27858.0,32292.0,39886.0,4.8,6.1,0.3,64.5,2.7,4.6,23.4,4.8
1115,Évry,125541,340138.0,217580.5,65.6,12324.0,21018.0,30140.0,17816.0,6354.0,10408.0,14158.0,17738.0,24312.0,27986.0,32706.0,40648.0,6.4,8.0,0.4,70.1,3.1,2.8,20.9,3.1
1116,Saclay,456559,1160835.0,763260.7,76.2,17576.0,26846.0,38388.0,20812.0,10106.0,15434.0,19570.0,23218.0,30782.0,35492.0,41932.0,53544.0,5.3,6.9,0.4,68.3,2.3,3.2,21.4,4.8
1117,Créteil,211417,556454.0,361393.7,70.6,14758.0,23230.0,32598.0,17840.0,8228.0,12798.0,16636.0,20060.0,26506.0,30324.0,35306.0,43750.0,5.3,6.7,0.3,68.4,2.7,3.4,21.7,3.8
1118,Orly,195810,499971.0,326990.0,61.9,10976.0,19046.0,28392.0,17416.0,5658.0,9366.0,12576.0,15796.0,22414.0,26154.0,30946.0,38752.0,6.8,8.7,0.4,70.6,3.3,2.5,20.6,3.0
1119,Cergy,146797,397061.0,255021.5,69.6,14414.0,22860.0,31952.0,17538.0,7862.0,12430.0,16234.0,19658.0,26118.0,29752.0,34556.0,42620.0,5.4,6.7,0.3,71.6,3.1,3.0,19.2,3.1
2101,Charleville-Mézières,96465,222311.5,151856.3,48.9,11028.0,17500.0,24400.0,13372.0,5152.0,9456.0,12484.0,15098.0,19932.0,22752.0,26382.0,32762.0,6.4,8.4,0.4,56.1,3.6,5.2,30.2,4.9
2102,Troyes,133766,302884.5,207802.8,55.2,12540.0,18930.0,26170.0,13630.0,6544.0,10880.0,14044.0,16634.0,21380.0,24368.0,28486.0,36620.0,5.6,7.8,0.4,53.0,3.2,9.3,28.4,6.1
2103,Châlons-en-Champagne,43990,101696.0,69164.8,59.5,13694.0,20106.0,27493.0,13799.0,7842.0,12074.0,15138.0,17732.0,22662.0,25662.0,29794.0,38032.0,4.8,6.5,0.3,56.0,2.8,9.3,26.7,5.2
2104,Épernay,46814,106630.0,73231.8,63.9,14542.0,21140.0,29672.0,15130.0,8784.0,12926.0,15966.0,18576.0,23914.0,27348.0,32641.0,43742.0,5.0,6.9,0.4,48.3,2.4,15.2,24.5,9.6
2105,Reims,145451,330872.0,226348.5,58.8,12972.0,20192.0,28627.0,15655.0,6614.0,11172.0,14618.0,17486.0,23062.0,26468.0,31334.0,40858.0,6.2,8.5,0.4,57.7,2.9,8.8,24.8,5.8
