Revenus fiscaux localisés des ménages - Année 2010,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi 2010,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Écart interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€),Indice de Gini
ZE2010,REG,LIBGEO,NBUC10,RFUCQ110,RFUCQ210,RFUCQ310,RFUCIQ10,RFUCD110,RFUCD210,RFUCD310,RFUCD410,RFUCD610,RFUCD710,RFUCD810,RFUCD910,RFUCRD10,RFUCET10,RFUCMO10,RFUCGI10
2303,23,Pont-Audemer,34210.4,12173,17722,24386,12213,7437,10818,13398,15557,19996,22743,26478,33212,4.5,15790.53,20064.18,0.3295
2304,23,Vernon - Gisors,80984.6,13102,19123,26231,13129,7806,11593,14419,16823,21517,24436,28392,35631,4.6,17384.59,21500.67,0.3260
2305,23,Dieppe - Caux maritime,83437.5,11791,17333,23858,12067,6898,10435,13062,15242,19574,22189,25894,32606,4.7,15156.28,19481.03,0.3324
2306,23,Le Havre,269371.2,11784,17927,25062,13278,6338,10238,13175,15587,20422,23316,27199,33983,5.4,17887.96,20181.99,0.3469
2307,23,Rouen,540170.5,12489,18752,25915,13426,6822,10879,13859,16371,21218,24133,28072,35273,5.2,18532.18,21080.92,0.3427
2401,24,Bourges,134863.1,12689,18501,25280,12591,7204,11213,13998,16324,20855,23597,27299,34021,4.7,16260.38,20501.57,0.3261
2402,24,Saint-Amand-Montrond,26340.8,10810,16043,21903,11093,5696,9463,12028,14084,18131,20441,23765,29540,5.2,16372.48,17807.15,0.3406
2403,24,Vierzon,32510.5,11486,16931,22784,11298,5790,9985,12779,14937,18999,21370,24466,30245,5.2,14540.67,18357.12,0.3274
2404,24,Chartres,165212.0,14237,19980,27017,12780,8881,12797,15520,17775,22390,25241,29170,36207,4.1,18439.59,22430.87,0.3116
2405,24,Châteaudun,25238.0,12424,17841,23773,11349,7437,11028,13644,15797,19893,22326,25590,31834,4.3,19649.67,19929.11,0.3238
2406,24,Dreux,73700.4,12056,18648,25596,13540,6608,10508,13515,16172,21137,23862,27757,34651,5.2,17349.44,20660.24,0.3398
2407,24,Le Blanc,15750.3,11431,16173,21833,10402,6805,10210,12517,14375,18183,20434,23621,29399,4.3,13050.02,17982.08,0.3159
2408,24,Issoudun,14528.6,12385,17572,23354,10969,7314,11018,13546,15681,19539,21903,25168,31133,4.3,14280.29,19378.18,0.3160
2409,24,Châteauroux,122304.4,11952,17256,23414,11462,7134,10649,13110,15245,19359,21870,25247,31518,4.4,15571.34,19226.22,0.3233
2410,24,Chinon,24148.8,12539,18076,25244,12705,7734,11223,13694,15859,20571,23449,27369,34196,4.4,15285.81,20548.81,0.3258
2411,24,Loches,16224.3,12137,17012,23120,10983,7792,10961,13211,15090,19176,21684,24994,31240,4.0,14966.20,19285.43,0.3151
2412,24,Tours,351056.1,13307,19124,26327,13020,8021,11868,14584,16883,21536,24453,28546,35979,4.5,17658.92,21726.25,0.3292
2413,24,Blois,119423.1,13220,19027,25887,12667,7850,11822,14512,16798,21403,24189,28010,34884,4.4,15689.09,21229.99,0.3208
2414,24,Romorantin-Lanthenay,39841.7,12065,17210,23328,11263,7032,10743,13218,15358,19369,21867,25228,31181,4.4,14340.42,19117.52,0.3169
2415,24,Vendôme,45844.1,13020,18044,24294,11274,8212,11799,14099,16086,20138,22691,26216,32526,4.0,17942.36,20419.57,0.3154
2416,24,Gien,52834.7,12250,17947,24417,12167,6712,10744,13569,15834,20197,22795,26449,32793,4.9,17007.92,19866.03,0.3285
2417,24,Montargis,86129.0,12000,17905,24554,12554,6588,10469,13392,15739,20209,22910,26552,33025,5.0,16107.35,19921.81,0.3345
2418,24,Orléans,316601.4,13736,20033,27543,13807,7910,12123,15140,17628,22634,25701,29825,37264,4.7,19191.80,22503.93,0.3275
2419,24,Pithiviers,34685.3,12991,18672,25041,12050,8201,11738,14255,16591,20838,23412,26963,33121,4.0,15882.54,20577.41,0.3057
2501,25,Bayeux,35408.9,11943,17489,24005,12062,7512,10629,13127,15362,19701,22417,25843,32483,4.3,16150.67,19640.18,0.3265
2502,25,Caen,307096.4,12976,18806,25822,12846,7604,11494,14268,16578,21210,24065,27990,35235,4.6,19203.53,21344.62,0.3339
2503,25,Honfleur,37341.6,12490,18267,26462,13972,7499,11072,13730,15963,20926,24239,29350,39151,5.2,28669.91,22945.90,0.3863
2504,25,Lisieux,47473.3,11261,16724,22994,11733,6283,9807,12434,14564,18942,21509,24881,31440,5.0,16235.65,18791.92,0.3421
2505,25,Vire,26918.6,11497,16379,21965,10468,6898,10294,12611,14577,18253,20596,23603,28914,4.2,16114.86,18122.39,0.3163
2506,25,Avranches,61610.5,11908,16667,22355,10447,7672,10818,12909,14806,18626,20995,24033,29738,3.9,15439.32,18702.32,0.3134
2507,25,Cherbourg-Octeville,140099.3,11983,17505,24131,12148,7280,10671,13184,15378,19805,22479,26101,32309,4.4,14616.00,19490.64,0.3218
2508,25,Coutances,40512.6,11751,16786,22851,11100,7030,10520,12818,14843,18760,21286,24921,31632,4.5,16230.99,19126.20,0.3322
2509,25,Granville,35802.7,12562,17891,25007,12445,7965,11318,13728,15803,20273,23148,27318,35127,4.4,20216.34,21041.48,0.3407
2510,25,Saint-Lô,57539.8,12357,17487,23449,11092,7509,11048,13522,15517,19555,21959,25271,31061,4.1,15034.89,19350.75,0.3126
2511,25,Argentan,27851.3,11495,16724,22617,11122,6611,10195,12684,14718,18729,21136,24349,29927,4.5,14086.31,18361.08,0.3241
2512,25,Flers,68823.0,11758,16693,22196,10438,7078,10500,12855,14832,18567,20837,23903,29426,4.2,15345.47,18428.47,0.3157
2513,25,L'Aigle,23386.3,11065,16534,22658,11593,6131,9769,12310,14498,18666,21105,24459,30733,5.0,14687.25,18425.85,0.3389
2601,26,Beaune,34267.5,13401,19455,26724,13323,8345,11968,14797,17098,21925,24931,29075,38003,4.6,21903.09,23054.18,0.3506
2602,26,Chatillon,12706.8,11673,16664,22911,11238,6692,10278,12823,14811,18885,21302,24822,30759,4.6,13418.89,18614.28,0.3229
2603,26,Dijon,277209.0,13812,19927,27334,13522,8501,12344,15158,17568,22443,25489,29616,37212,4.4,20039.32,22661.69,0.3267
2604,26,Montbard,22000.5,12385,17509,23536,11151,7655,11126,13476,15535,19566,22046,25393,31582,4.1,15882.45,19453.76,0.3167
2605,26,Morvan,24781.9,10908,15984,22375,11467,6144,9678,12030,13963,18147,20871,24265,30317,4.9,15564.43,17854.24,0.3312
2606,26,Nevers,83943.3,11805,17651,23964,12159,6125,10314,13172,15514,19853,22451,25858,31995,5.2,17239.71,19310.03,0.3345
2607,26,Autun,23559.5,11658,16753,22706,11048,7012,10403,12774,14791,18813,21182,24563,31047,4.4,14198.29,18789.68,0.3229
2608,26,Chalon-sur-Saône,132550.5,12665,18211,24849,12184,7733,11275,13854,16057,20491,23192,26867,33460,4.3,18168.68,20575.07,0.3271
2609,26,Louhans,25064.3,11821,16941,22628,10807,7535,10699,12917,14921,18944,21210,24331,29747,3.9,12646.83,18429.91,0.3044
2610,26,Le Creusot - Montceau,71154.9,11698,16891,22808,11110,6707,10393,12914,14914,19002,21358,24636,30446,4.5,14252.08,18615.04,0.3193
2611,26,Charolais,58812.3,12166,16803,22471,10305,7766,11025,13177,15029,18700,20959,24170,30027,3.9,13704.49,18782.44,0.3064
2612,26,Auxerre,143123.8,12047,17845,24457,12410,6763,10607,13363,15670,20151,22801,26466,33209,4.9,17782.10,20061.50,0.3390
2613,26,Avallon,16585.7,11519,16870,23240,11721,6751,10247,12763,14881,19075,21662,25092,31997,4.7,21626.65,19396.87,0.3438
2614,26,Sens,73545.4,12640,18430,24939,12299,7486,11219,13887,16236,20697,23339,26898,33480,4.5,16161.07,20462.87,0.3222
3110,31,Roubaix - Tourcoing,274561.4,9368,16266,23752,14384,3923,7830,10886,13670,18889,21930,25944,33509,8.5,26623.89,19050.05,0.4047
3111,31,Lille,506863.7,11731,18942,27571,15840,5705,9945,13335,16216,21892,25407,30195,38940,6.8,22038.51,22150.72,0.3820
3112,31,Dunkerque,168711.2,10739,16682,23466,12727,5978,9357,12001,14346,19103,21859,25479,31863,5.3,15486.78,18769.09,0.3472
3113,31,Flandre - Lys,80599.6,12586,17992,24548,11962,7948,11321,13757,15931,20269,22888,26522,32761,4.1,16182.30,20252.18,0.3156
3114,31,Douai,162506.8,9987,15967,23035,13048,4958,8592,11298,13679,18449,21325,25112,31478,6.3,16531.64,18107.79,0.3639
3115,31,Valenciennes,228534.5,8852,14922,22011,13159,3826,7510,10170,12573,17434,20308,24013,30238,7.9,18510.85,17105.58,0.3846
3116,31,Cambrai,119354.6,10296,16049,22598,12302,5333,8867,11558,13878,18324,21008,24578,31090,5.8,17307.78,18198.13,0.3603
3117,31,Maubeuge,153454.2,8677,14873,21856,13179,3364,7249,10003,12449,17332,20144,23861,30199,9.0,15585.91,16804.57,0.3869
3121,31,Arras,159110.5,11726,17788,24953,13227,6667,10288,13015,15422,20276,23192,27102,34222,5.1,17911.20,20324.57,0.3507
3122,31,Lens - Hénin,239929.1,8441,14186,20339,11898,3681,7205,9617,11993,16340,18858,22061,27341,7.4,14411.14,15645.96,0.3673
3123,31,Béthune - Bruay,193252.0,10253,15963,22621,12368,5441,8899,11510,13752,18320,21034,24525,30464,5.6,16137.24,17976.98,0.3539
3124,31,Saint-Omer,77097.4,10335,15902,22163,11828,5731,9051,11482,13738,18090,20639,23986,29911,5.2,15034.31,17835.43,0.3483
3125,31,Calais,107843.9,9642,15581,22246,12604,4548,8247,10927,13266,17948,20645,24114,30035,6.6,13935.81,17347.61,0.3626
3126,31,Boulogne-sur-mer,107864.6,9796,15703,22612,12816,4931,8395,11064,13440,18087,20915,24644,31507,6.4,20731.84,18269.00,0.3805
3127,31,Berck - Montreuil,71550.0,10880,16529,23405,12525,6249,9562,12143,14318,18897,21660,25490,32730,5.2,21801.91,19448.92,0.3666
4101,41,Longwy,72059.8,11564,17499,24997,13433,5967,10152,12857,15102,20165,23209,27305,34140,5.7,13910.47,19512.79,0.3403
