Revenus fiscaux localisés des ménages - Année 2008,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Intervalle interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,NBUC08,RFUCQ108,RFUCQ208,RFUCQ308,RFUCIQ08,RFUCD108,RFUCD208,RFUCD308,RFUCD408,RFUCD608,RFUCD708,RFUCD808,RFUCD908,RFUCRD08,RFUCET08,RFUCMO08,RFUCGI08
2441,24,Tours,264477.2,13042,18785,25956,12914,7779,11596,14284,16560,21195,24122,28205,35761,4.6,18504.71,21516.21,0.3352
2442,24,Amboise,50102.1,13371,18560,24844,11473,8883,12149,14527,16522,20642,23248,26762,33599,3.8,15774.78,20882.08,0.3041
2443,24,Loches,34350.6,11793,16391,22279,10486,7665,10652,12743,14613,18410,20841,24002,30310,4.0,15253.02,18652.86,0.3160
2444,24,Chinon,40074.1,11860,16803,23097,11237,7701,10651,12892,14821,18904,21506,25038,31464,4.1,13549.22,19009.11,0.3147
2451,24,Blois,124819.8,12959,18503,25119,12160,7889,11634,14164,16374,20793,23469,27231,34101,4.3,16418.79,20792.04,0.3199
2452,24,Vendôme,48185.8,12738,17494,23527,10789,8289,11551,13762,15583,19565,21990,25466,32004,3.9,24318.65,20044.12,0.3174
2453,24,Romorantin,49290.4,12017,17181,23170,11153,7437,10761,13197,15212,19234,21645,25081,31419,4.2,15896.82,19349.77,0.3215
2461,24,Orléans,266570.7,13450,19725,27184,13734,7703,11881,14853,17312,22268,25322,29453,36914,4.8,18657.42,22180.40,0.3291
2462,24,Montargis,85094.1,11924,17565,23977,12053,6918,10468,13212,15456,19824,22440,25953,32487,4.7,22311.16,19835.28,0.3364
2463,24,Pithiviers,41017.2,12969,18332,24698,11729,8448,11762,14123,16279,20469,23095,26603,33088,3.9,16637.07,20539.95,0.3068
2464,24,Gien,45068.8,12186,17647,24066,11880,7068,10750,13388,15546,19825,22510,26000,32527,4.6,15614.26,19665.53,0.3235
2501,25,Caen-Bayeux,332225.1,12517,18078,24874,12357,7579,11115,13746,15947,20413,23176,26995,34102,4.5,20921.12,20681.35,0.3333
2502,25,Lisieux,85531.2,11372,16831,23569,12197,6808,10087,12536,14694,19149,21842,25759,33775,5.0,28983.90,20155.93,0.3683
2503,25,Vire,37109.5,11172,15718,21152,9980,6901,10033,12124,13959,17562,19885,22731,27868,4.0,18463.17,17559.38,0.3178
2504,25,Cherbourg-Octeville,133472.9,11529,16771,23045,11516,7064,10233,12665,14731,18943,21490,24981,30902,4.4,14595.31,18752.45,0.3226
