Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus disponibles par unité de consommation et composition du revenu disponible - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 23/01/2020       Géographie au 01/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile (€),4e décile (€),6e décile (€),7e décile (€),8e décile (€),9e décile (€),Rapport interdécile 9e décile/1er decile,S80/20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements(%),dont part des indemnités de chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des revenus du patrimoine et autres revenus (%),Part de l'ensemble des prestations sociales (%),dont part des prestations familiales (%),dont part des minima sociaux (%),dont part des prestations logement (%),Part des impôts (%)
CODGEO,LIBGEO,NBMEN17,NBPERS17,NBUC17,Q117,Q217,Q317,Q3_Q1,D117,D217,D317,D417,D617,D717,D817,D917,RD,S80S2017,GI17,PACT17,PTSA17,PCHO17,PBEN17,PPEN17,PPAT17,PPSOC17,PPFAM17,PPMINI17,PPLOGT17,PIMPOT17
1110,Mantes-la-Jolie,65297,174422,112491.5,15130,21190,27950,12830,10930,13850,16410,18860,23630,26350,29920,35850,3.3,3.882,0.261,78.4,72.1,3.6,2.8,25.2,6.3,6.5,3.1,1.8,1.5,-16.4
1111,Poissy,97343,254518,165267.3,16430,23410,32310,15880,11800,14950,17830,20640,26490,30110,34950,43450,3.7,4.511,0.294,84.9,78.3,3.2,3.4,23.0,7.4,4.7,2.3,1.3,1.1,-20.0
1112,Rambouillet,30022,73988,49491.6,20660,27220,35310,14660,15470,19160,22020,24680,30010,33380,37990,46560,3.0,3.752,0.261,81.7,75.5,2.5,3.8,27.4,9.6,2.6,1.5,0.6,0.5,-21.3
1113,Plaisir,21185,55606,36197.7,19240,26320,34750,15510,13680,17620,20740,23660,29270,32650,37150,44790,3.3,3.888,0.262,86.7,80.8,2.6,3.2,22.5,7.6,3.4,1.9,0.8,0.7,-20.2
1114,Étampes,24750,61530,40801.8,16640,22180,28640,12000,12090,15260,17790,20040,24540,27130,30630,36470,3.0,3.618,0.248,77.8,71.5,2.8,3.5,26.5,7.8,5.1,2.5,1.5,1.0,-17.2
1115,Évry,130677,347517,223850.2,14840,21340,28770,13930,10540,13490,16150,18770,24000,27000,30850,37470,3.6,4.287,0.279,82.5,76.4,3.2,2.9,22.5,6.2,6.4,3.0,1.8,1.6,-17.6
1116,Saclay,469490,1180353,779584.3,18610,26190,35940,17330,13020,16940,20180,23170,29510,33510,38870,48630,3.7,4.649,0.299,85.1,79.2,2.5,3.4,24.0,9.6,3.3,1.7,0.9,0.8,-22.0
1117,Créteil,217860,567025,369918.4,16520,23110,30810,14290,11770,15070,17890,20530,25770,28920,33050,40040,3.4,4.087,0.271,82.8,76.2,3.0,3.6,24.0,7.6,4.9,2.4,1.4,1.1,-19.3
1118,Orly,201007,509648,333835.7,13710,19750,27350,13640,9760,12520,14910,17280,22420,25510,29600,36190,3.7,4.406,0.285,82.6,76.3,3.6,2.7,21.1,6.0,7.3,3.0,2.4,1.9,-17.0
1119,Cergy,152720,404161,261290.7,16470,23010,30470,14000,11740,15010,17860,20460,25660,28650,32610,39210,3.3,3.983,0.265,85.2,78.8,3.3,3.1,21.6,6.3,5.2,2.6,1.4,1.2,-18.3
