Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus disponibles par unité de consommation et composition du revenu disponible - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 25/04/2019      Découpage géographique au 01/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Sources : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,1er quartile,Médiane,3e quartile,Ecart interquartile,1er décile,2e décile,3e décile,4e décile,6e décile,7e décile,8e décile,9e décile,Rapport inter-décile 9e décile/1er decile,S80/20,Indice de Gini,"Part des salaires, traitements ou chômage",Part des revenus d'activités non salariées,"Part des pensions, retraites et rentes",Part des revenus du patrimoine et autres revenus,Part de l'ensemble des prestations sociales ,dont part des prestations familiales,dont part des minima sociaux,dont part des prestations logement,Part des impôts
CODGEO,LIBGEO,NBMEN13,NBPERS13,NBUC13,Q113,Q213,Q313,Q3_Q1,D113,D213,D313,D413,D613,D713,D813,D913,RD,S80S2013,GI13,PTSAC13,PBEN13,PPEN13,PPAT13,PPSOC13,PPFAM13,PPMINI13,PPLOGT13,PIMPOT13
2410,Chinon,15464,34542.0,23957.9,15320.7,20063.0,26477.3,11156.7,11648.0,14303.3,16276.0,18142.0,22118.7,24765.7,28580.9,35288.0,3.0,3.6,0.3,59.5,7.4,33.4,10.5,4.7,2.0,1.5,1.2,-15.5
2411,Loches,10520,22569.5,15896.6,14816.2,19028.0,24531.9,9715.7,11450.6,13903.3,15560.0,17291.8,20953.0,23235.3,26238.1,32258.0,2.8,3.4,0.2,53.2,7.9,36.5,11.8,5.0,2.0,1.6,1.4,-14.4
2412,Tours,229260,516524.5,355287.9,15578.5,20509.3,26878.7,11300.2,11533.0,14427.7,16606.0,18608.7,22600.0,25213.0,28956.0,35781.7,3.1,3.8,0.3,66.3,5.3,29.7,10.5,4.9,2.2,1.4,1.4,-16.7
2413,Blois,76792,175545.5,120203.1,15400.0,20326.0,26396.8,10996.8,11224.7,14251.9,16431.7,18446.0,22369.5,24842.0,28365.3,34664.4,3.1,3.7,0.3,62.8,5.7,32.1,10.6,4.8,2.3,1.3,1.2,-16.0
2414,Romorantin-Lanthenay,25878,56353.5,39469.9,14464.7,18979.3,24245.2,9780.6,10602.0,13405.0,15454.5,17279.6,20720.0,22881.0,25928.0,31609.5,3.0,3.6,0.2,53.4,5.4,39.5,10.9,5.0,2.1,1.6,1.3,-14.2
2415,Vendôme,29425,65680.5,45488.4,15281.0,19764.3,25313.5,10032.5,11387.7,14203.3,16243.0,18008.0,21528.6,23831.9,27184.7,33444.5,2.9,3.6,0.3,57.9,8.0,33.7,11.4,4.5,2.1,1.2,1.1,-15.5
2416,Gien,33360,75542.5,51926.6,14767.0,19612.3,25323.3,10556.3,10709.4,13602.0,15833.9,17783.8,21471.3,23835.5,27146.0,33180.7,3.1,3.7,0.3,59.7,5.4,34.0,10.7,5.2,2.3,1.5,1.4,-15.0
2417,Montargis,54900,126816.0,86409.9,14405.7,19440.7,25246.9,10841.3,10387.1,13284.8,15460.0,17499.3,21398.7,23811.4,27040.8,32990.6,3.2,3.9,0.3,59.7,6.2,33.7,10.4,5.5,2.5,1.6,1.4,-15.5
2418,Orléans,199172,474162.0,318982.1,15867.9,21188.3,27939.1,12071.2,11594.3,14653.8,17014.0,19157.2,23459.2,26221.0,30013.0,36736.7,3.2,3.8,0.3,69.4,5.1,27.5,10.6,4.7,2.4,1.1,1.2,-17.3
2419,Pithiviers,21270,52385.0,34850.6,15346.3,20082.4,25733.2,10386.9,11601.4,14243.8,16366.4,18289.0,21927.5,24286.7,27500.6,33248.7,2.9,3.5,0.2,65.1,7.7,27.2,10.5,4.9,2.7,1.1,1.2,-15.4
