Revenus fiscaux des ménages - Année 2002,,,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,,,
"© Insee     Source : Insee-DGI, Revenus fiscaux des ménages",,,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,,,
,,,"Nb de ménages
au RP 1999",PSDC99,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),"Intervalle
inter-quartiles (€)",1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),"Rapport
inter-déciles",Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,MEN99,PSDC99,NBUC02,RFUCQ102,RFUCQ202,RFUCQ302,RFUCIQ02,RFUCD102,RFUCD202,RFUCD302,RFUCD402,RFUCD602,RFUCD702,RFUCD802,RFUCD902,RFUCRD02,RFUCET02,RFUCMO02,RFUCGI02
2321,23,Rouen,288745,724721,460418.6,9955,15189,21199,11244,5536,8689,11118,13203,17280,19713,22995,28821,5.2,13086.98,16991.27,0.3380
2322,23,Dieppe,38794,98451,64481.7,9135,13659,19051,9916,5525,8016,10119,11927,15513,17675,20687,26252,4.8,11620.21,15521.21,0.3364
2323,23,Le Havre,141181,360488,228735.8,9089,14166,20149,11060,4930,7880,10205,12243,16272,18726,21917,27489,5.6,12639.27,15954.97,0.3471
2324,23,Lillebonne,22382,59573,38285.1,9908,14520,20240,10332,6290,8801,10858,12720,16483,18817,21903,27068,4.3,16990.00,16390.98,0.3186
2325,23,Evreux,64407,167934,108921.4,10748,15850,21753,11005,6368,9497,11900,13920,17940,20331,23565,29368,4.6,13991.38,17734.73,0.3243
2411,24,Bourges,74661,179699,117994.4,10201,15116,20847,10646,5933,9007,11300,13262,17105,19430,22565,28005,4.7,12041.11,16741.57,0.3239
2412,24,Vierzon,20699,48766,31778.3,9276,13800,18865,9589,5217,8181,10321,12157,15603,17607,20328,24932,4.8,10717.75,15096.29,0.3226
2413,24,Saint-Amand-Montrond,20587,48187,31470.5,9143,13349,18463,9320,5719,8130,10019,11650,15114,17203,19893,24816,4.3,11685.82,14924.21,0.3221
2414,24,Aubigny,16218,37776,25102.4,9501,13954,19483,9982,6031,8555,10407,12222,15822,18083,21256,27452,4.6,14305.58,16346.66,0.3426
2421,24,Chartres,75461,194152,127131.4,11757,16555,22384,10627,7562,10630,12835,14723,18558,20907,24105,29895,4.0,13390.87,18489.51,0.3031
2422,24,Dreux,43769,120298,76590.9,9746,14945,20756,11010,5645,8502,10893,13038,16996,19354,22555,28139,5.0,12615.22,16706.54,0.3336
2423,24,Châteaudun,23263,56886,37090.1,10688,14822,19879,9191,6963,9714,11520,13191,16554,18626,21343,26552,3.8,11530.12,16523.06,0.2981
2424,24,Nogent-le-Rotrou,15121,36329,23815.8,10051,14284,19207,9156,6423,9054,10953,12594,15928,17966,20631,25668,4.0,11381.51,15877.58,0.3087
2431,24,Châteauroux,49918,117553,77027.2,10002,14416,19773,9771,6173,8889,10947,12717,16239,18399,21427,26463,4.3,14705.05,16219.20,0.3212
2432,24,Argenton-sur-Creuse,21795,49806,33705.3,8775,12711,17743,8968,5670,7899,9622,11210,14370,16385,19311,24416,4.3,10745.06,14521.90,0.3258
2433,24,Issoudun,15133,34852,23409.5,10135,14227,19092,8957,6574,9170,11000,12722,15941,17889,20567,25175,3.8,11176.22,15811.80,0.3009
2434,24,La Châtre,12645,28928,19666.2,8771,12721,17803,9032,5858,7944,9579,11113,14557,16599,19335,24367,4.2,10862.84,14609.97,0.3223
2441,24,Tours,161600,379742,246872.8,10769,15731,21894,11125,6513,9568,11852,13803,17831,20341,23792,30238,4.6,13412.01,17881.21,0.3291
2442,24,Amboise,26429,67683,45386.8,10622,15148,20737,10115,7018,9642,11612,13412,17068,19272,22429,28123,4.0,11998.45,17046.31,0.3083
2443,24,Loches,20154,48773,32095.5,9280,13115,18132,8852,6054,8357,10083,11588,14896,16904,19564,24645,4.1,11133.05,14941.83,0.3184
2444,24,Chinon,23222,57805,37685.5,9410,13580,18766,9356,6164,8475,10270,11958,15271,17408,20460,25529,4.1,11110.35,15301.33,0.3129
2451,24,Blois,73073,177282,116286.5,10921,15600,21364,10443,6750,9742,11907,13804,17546,19876,23134,28869,4.3,12072.11,17422.40,0.3134
2452,24,Vendôme,28437,68014,45585.5,10317,14372,19515,9198,6879,9355,11169,12818,16145,18203,21028,26269,3.8,16211.27,16369.92,0.3101
2453,24,Romorantin,29091,69672,46560.1,10146,14610,19861,9715,6502,9123,11101,12852,16472,18523,21430,26703,4.1,12673.99,16376.37,0.3139
2461,24,Orléans,152572,382314,248934.1,11511,16872,23199,11688,6720,10174,12696,14845,19036,21644,25119,31246,4.6,13745.28,18768.92,0.3198
2462,24,Montargis,47710,114614,77829.8,10062,14794,20333,10271,6050,8899,11076,12998,16717,18981,21958,27429,4.5,13896.60,16577.58,0.3247
2463,24,Pithiviers,22300,57120,37779.3,10706,15262,20783,10077,7047,9628,11652,13491,17235,19483,22515,27712,3.9,13408.04,17104.99,0.3049
2464,24,Gien,26104,64078,42645.1,10127,14873,20271,10144,6058,9004,11117,13016,16788,18936,21898,27091,4.5,12318.31,16471.37,0.3187
2501,25,Caen-Bayeux,192255,485859,308189.3,9957,14882,20796,10839,5956,8781,11010,12956,16923,19326,22591,28414,4.8,13314.28,16854.96,0.3347
2502,25,Lisieux,48715,119715,79020.1,9044,13627,19473,10429,5481,7991,10058,11854,15545,17909,21258,27756,5.1,14591.48,16129.55,0.3597
2503,25,Vire,22755,55463,35942.9,8885,12726,17409,8524,5707,8035,9652,11188,14350,16257,18860,23393,4.1,11090.37,14418.24,0.3213
2504,25,Cherbourg-Octeville,78112,198740,127435.2,9132,13621,19105,9973,5653,8114,10091,11866,15542,17793,20765,25700,4.5,11362.30,15305.27,0.3253
2505,25,Saint-Lô,35661,88213,57676.6,9630,13850,18990,9360,6212,8670,10539,12188,15608,17671,20552,25713,4.1,11229.56,15587.32,0.3154
