Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 25/04/2019       Géographie au 01/01/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés (%),1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile  (€),4e décile (€) ,6e décile (€),7e décile (€),8e décile (€) ,9e décile (€),Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements hors chômage (%),dont part des indemnités chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des autres revenus (%)
CODGEO,LIBGEO,NBMEN15,NBPERS15,NBUC15,PMIMP15,Q115,Q215,Q315,Q3_Q1,D115,D215,D315,D415,D615,D715,D815,D915,RD,S80S2015,GI15,PACT15,PTSA15,PCHO15,PBEN15,PPEN15,PAUT15
1110,Mantes-la-Jolie,64529.0,175421.5,112509.2,60.0,12626.0,20708.0,29160.0,16534.0,6640.0,10804.0,14384.0,17592.0,23790.0,27186.0,31504.0,38776.0,5.8,7.3,0.3,72.8,66.6,3.4,2.8,23.7,3.5
1111,Poissy,95369.0,252947.5,163486.2,66.7,14582.0,23692.0,34658.0,20076.0,7936.0,12536.0,16522.0,20122.0,27478.0,31968.0,37950.0,48368.0,6.1,7.8,0.4,75.2,69.2,3.0,3.0,21.1,3.7
1112,Rambouillet,29446.0,73978.0,49142.3,75.3,19992.0,28152.0,38278.0,18286.0,13282.0,18138.0,21702.0,24840.0,31598.0,35736.0,41494.0,51878.0,3.9,5.2,0.3,70.6,64.9,2.2,3.5,24.0,5.4
1113,Plaisir,20867.0,55347.5,35883.0,74.6,18248.0,27004.0,36970.0,18722.0,10816.0,16040.0,20172.0,23642.0,30578.0,34644.0,39871.0,49370.0,4.6,5.7,0.3,76.0,70.7,2.4,2.9,20.1,3.9
1114,Étampes,24423.0,61782.0,40692.3,63.1,14814.0,22107.0,30170.0,15356.0,8356.0,12976.0,16466.0,19388.0,24974.0,28256.0,32452.0,39896.0,4.8,6.1,0.3,71.2,64.7,2.8,3.7,24.3,4.5
1115,Évry,127640.0,344778.5,220920.2,62.1,12236.0,21220.0,30458.0,18222.0,6262.0,10296.0,14150.0,17790.0,24544.0,28288.0,33046.0,41162.0,6.6,8.3,0.4,75.8,69.9,3.1,2.7,21.1,3.1
1116,Saclay,464528.0,1182955.0,777832.7,73.0,17630.0,27106.0,38870.0,21240.0,10010.0,15412.0,19652.0,23414.0,31114.0,35926.0,42434.0,54328.0,5.4,7.1,0.4,73.8,68.4,2.3,3.1,21.5,4.7
1117,Créteil,214410.0,564635.0,366913.7,67.4,14866.0,23534.0,33034.0,18168.0,8108.0,12830.0,16764.0,20312.0,26890.0,30722.0,35794.0,44430.0,5.5,7.0,0.3,74.2,68.1,2.8,3.3,22.0,3.8
1118,Orly,199538.0,512226.5,334186.6,58.2,10888.0,19088.0,28630.0,17742.0,5402.0,9214.0,12530.0,15778.0,22514.0,26364.0,31270.0,39208.0,7.3,9.1,0.4,76.7,70.7,3.5,2.5,20.4,2.9
1119,Cergy,149482.0,403032.0,259126.4,66.1,14524.0,23184.0,32396.0,17872.0,7868.0,12468.0,16386.0,19920.0,26462.0,30182.0,35034.0,43238.0,5.5,6.8,0.3,77.2,71.2,3.1,2.9,19.7,3.1
2101,Charleville-Mézières,96308.0,219623.5,150752.6,46.1,11200.0,17904.0,24950.0,13750.0,4976.0,9508.0,12726.0,15376.0,20396.0,23270.0,26968.0,33374.0,6.7,8.7,0.4,64.0,55.4,3.5,5.0,31.0,5.0
2102,Troyes,134253.0,302003.5,207783.5,52.1,12658.0,19228.0,26480.0,13822.0,6312.0,10900.0,14234.0,16864.0,21690.0,24638.0,28846.0,36882.0,5.8,7.9,0.4,64.6,53.1,3.4,8.1,29.3,6.1
2103,Châlons-en-Champagne,43887.0,100468.0,68614.9,56.2,13753.0,20368.0,27752.0,13999.0,7612.0,12046.0,15252.0,17886.0,22892.0,25942.0,30004.0,37782.0,5.0,6.5,0.3,66.8,57.0,2.7,7.1,28.0,5.2
2104,Épernay,46683.0,105403.0,72664.5,60.4,14704.0,21482.0,30128.0,15424.0,8808.0,13094.0,16244.0,18898.0,24250.0,27836.0,33096.0,44046.0,5.0,6.9,0.4,65.8,48.9,2.5,14.4,25.1,9.1
2105,Reims,147058.0,334479.0,228803.3,55.5,12952.0,20484.0,29020.0,16068.0,6204.0,11016.0,14652.0,17670.0,23394.0,26854.0,31770.0,41302.0,6.7,9.0,0.4,69.1,58.2,2.9,8.0,25.3,5.6
2106,Chaumont - Langres,49146.0,107114.0,75009.8,51.7,13734.0,19434.0,25812.0,12078.0,8264.0,12280.0,14958.0,17288.0,21616.0,24248.0,27742.0,34090.0,4.1,5.5,0.3,61.8,53.4,2.7,5.7,33.6,4.6
2107,Vitry-le-François - Saint-Dizier,48580.0,110012.5,75748.9,47.6,11852.0,17952.0,24332.0,12480.0,6190.0,10292.0,13244.0,15674.0,20208.0,22756.0,26242.0,32558.0,5.3,7.0,0.3,61.9,52.8,3.6,5.5,33.5,4.6
2201,Château-Thierry,27479.0,66884.5,44719.6,54.8,13488.0,19672.0,26872.0,13384.0,7738.0,11900.0,14904.0,17400.0,22250.0,25098.0,29066.0,36678.0,4.7,6.3,0.3,68.0,56.8,3.3,7.9,26.3,5.7
2202,Tergnier,23543.0,54915.5,37273.9,45.2,10570.0,17338.0,24038.0,13468.0,4358.0,8806.0,12134.0,14870.0,19738.0,22466.0,26048.0,32028.0,7.3,8.8,0.3,64.1,56.1,3.6,4.4,32.7,3.2
2203,La Thiérache,24116.0,56173.0,38155.5,41.5,9658.0,16154.0,22764.0,13106.0,3664.0,7906.0,11162.0,13880.0,18582.0,21182.0,24586.0,30268.0,8.3,9.9,0.4,61.8,51.6,3.6,6.6,32.9,5.3
2204,Laon,41110.0,97740.5,65850.9,47.9,11622.0,18288.0,25452.0,13830.0,5800.0,9958.0,13154.0,15904.0,20836.0,23726.0,27544.0,34340.0,5.9,8.0,0.4,66.6,57.0,3.4,6.3,28.5,4.9
2205,Saint-Quentin,57678.0,135244.5,91660.1,46.9,10528.0,17646.0,24890.0,14362.0,4342.0,8832.0,12206.0,15108.0,20210.0,23122.0,26990.0,34082.0,7.8,10.1,0.4,64.9,55.1,3.5,6.3,30.8,4.3
2206,Soissons,38891.0,91901.5,62188.1,49.1,12146.0,18598.0,25650.0,13504.0,6142.0,10416.0,13638.0,16236.0,21110.0,23992.0,27780.0,34718.0,5.7,7.5,0.3,65.1,56.3,3.4,5.3,30.2,4.7
2207,Beauvais,99826.0,252399.5,166339.2,55.9,13566.0,20290.0,27444.0,13878.0,7416.0,11870.0,15092.0,17810.0,22838.0,25716.0,29514.0,36062.0,4.9,6.3,0.3,70.9,62.9,3.3,4.7,25.2,3.9
2208,Compiègne,81762.0,201106.0,134023.8,57.8,14076.0,20944.0,28836.0,14760.0,8046.0,12382.0,15592.0,18346.0,23676.0,26874.0,31204.0,39140.0,4.9,6.5,0.3,70.2,62.7,3.2,4.2,25.5,4.3
2209,Abbeville,29397.0,68425.0,46674.7,47.4,11696.0,18142.0,25142.0,13446.0,5854.0,10032.0,13112.0,15754.0,20538.0,23438.0,27310.0,34707.0,5.9,8.1,0.4,62.4,51.4,3.3,7.7,32.0,5.6
2210,Amiens,156714.0,368162.5,249422.1,52.0,12450.0,19418.0,27080.0,14630.0,5962.0,10588.0,14072.0,16843.0,22116.0,25192.0,29358.0,36932.0,6.2,8.3,0.4,68.3,59.0,3.1,6.2,26.9,4.8
2211,Péronne,23199.0,55594.0,37476.7,46.9,11612.0,17820.0,24426.0,12814.0,6024.0,9988.0,13078.0,15564.0,20186.0,22820.0,26572.0,33014.0,5.5,7.5,0.3,65.0,53.9,3.8,7.2,30.1,4.9
2301,Bernay,25389.0,57831.5,39727.4,51.9,13234.0,19408.0,26362.0,13128.0,7306.0,11642.0,14662.0,17156.0,21860.0,24582.0,28350.0,35002.0,4.8,6.3,0.3,61.6,52.8,3.4,5.4,33.2,5.2
2302,Évreux,89739.0,217120.0,145303.0,56.0,13810.0,20432.0,27684.0,13874.0,7400.0,12066.0,15340.0,17950.0,22958.0,25868.0,29882.0,36928.0,5.0,6.6,0.3,68.0,60.1,3.4,4.5,27.6,4.4
2303,Pont-Audemer,22299.0,53058.5,35731.7,50.7,13326.0,19400.0,26482.0,13156.0,7984.0,11848.0,14664.0,17080.0,21826.0,24742.0,28466.0,35310.0,4.4,6.0,0.3,66.7,58.4,3.4,4.9,28.5,4.8
2304,Vernon - Gisors,49556.0,123304.0,81853.8,57.7,14118.0,20674.0,28259.0,14141.0,8146.0,12332.0,15602.0,18222.0,23210.0,26384.0,30558.0,38092.0,4.7,6.1,0.3,69.1,61.5,3.5,4.1,26.7,4.2
2305,Dieppe - Caux maritime,52995.0,122070.5,83522.7,50.5,13072.0,19134.0,26056.0,12984.0,7232.0,11426.0,14458.0,16880.0,21504.0,24302.0,28250.0,35432.0,4.9,6.5,0.3,64.0,55.3,3.1,5.6,31.7,4.3
2306,Le Havre,168751.0,394531.5,267463.6,53.9,13018.0,19936.0,27630.0,14612.0,6488.0,11184.0,14594.0,17368.0,22614.0,25726.0,29942.0,37156.0,5.7,7.5,0.3,67.5,59.9,3.4,4.2,28.6,3.9
2307,Rouen,344007.0,799873.0,543235.9,54.9,13512.0,20442.0,28170.0,14658.0,6858.0,11638.0,15112.0,17888.0,23114.0,26262.0,30524.0,38080.0,5.6,7.3,0.3,68.7,60.9,3.2,4.6,27.3,4.0
2401,Bourges,87160.0,191698.0,133387.6,54.4,13922.0,20290.0,27396.0,13474.0,7668.0,12204.0,15354.0,17904.0,22728.0,25624.0,29518.0,36496.0,4.8,6.4,0.3,63.5,56.0,2.6,4.9,32.2,4.3
2402,Saint-Amand-Montrond,16853.0,34499.5,24827.8,44.5,12048.0,17782.0,23904.0,11856.0,6008.0,10502.0,13354.0,15630.0,19966.0,22398.0,25876.0,31948.0,5.3,7.0,0.3,53.2,44.2,3.0,6.0,42.4,4.4
2403,Vierzon,20746.0,45330.5,31655.1,46.8,12182.0,18364.0,24584.0,12402.0,5222.0,10282.0,13782.0,16200.0,20584.0,23128.0,26506.0,32472.0,6.2,7.9,0.3,58.5,51.3,3.1,4.1,37.7,3.8
2404,Chartres,104633.0,248648.5,167657.6,60.8,15406.0,21692.0,29060.0,13654.0,9402.0,13836.0,16822.0,19300.0,24206.0,27220.0,31310.0,38564.0,4.1,5.3,0.3,68.7,61.1,2.8,4.8,26.7,4.6
2405,Châteaudun,15798.0,35426.5,24461.1,52.3,13430.0,19236.0,25558.0,12128.0,7288.0,11794.0,14910.0,17172.0,21504.0,24116.0,27484.0,34038.0,4.7,6.0,0.3,58.4,49.5,2.8,6.1,36.4,5.2
2406,Dreux,44292.0,114421.0,74741.1,55.3,13112.0,20184.0,27640.0,14528.0,6978.0,11300.0,14734.0,17512.0,22796.0,25856.0,29904.0,36984.0,5.3,6.9,0.3,69.1,61.3,3.5,4.3,26.7,4.2
2407,Le Blanc,10083.0,20807.0,14926.3,44.7,12886.0,17894.0,23880.0,10994.0,7872.0,11574.0,14030.0,15972.0,19972.0,22372.0,25600.0,32150.0,4.1,5.4,0.3,53.2,44.6,2.4,6.3,41.9,4.9
2408,Issoudun,9178.0,19673.5,13862.4,52.1,13956.0,19440.0,26030.0,12074.0,8024.0,12446.0,15094.0,17306.0,21752.0,24406.0,27940.0,34462.0,4.3,5.7,0.3,62.5,53.7,2.9,5.9,32.6,4.9
2409,Châteauroux,79143.0,167515.0,118549.5,48.9,13206.0,18932.0,25410.0,12204.0,7468.0,11660.0,14468.0,16775.0,21162.0,23776.0,27344.0,33672.0,4.5,6.0,0.3,59.1,50.8,2.9,5.4,36.1,4.8
2410,Chinon,15518.0,34633.0,24057.8,53.5,14340.0,20214.0,28208.0,13868.0,8932.0,12916.0,15620.0,17928.0,22822.0,26002.0,30592.0,38026.0,4.3,5.6,0.3,62.0,52.9,2.8,6.3,33.5,4.5
2411,Loches,10598.0,22481.5,15922.4,48.5,13620.0,18932.0,25322.0,11702.0,8480.0,12214.0,14734.0,16882.0,21094.0,23874.0,27346.0,33940.0,4.0,5.4,0.3,57.0,48.0,3.0,6.0,36.9,6.1
2412,Tours,233338.0,524942.0,361441.3,55.8,14458.0,20846.0,28568.0,14110.0,8124.0,12790.0,15878.0,18428.0,23438.0,26598.0,30998.0,38890.0,4.8,6.4,0.3,66.4,58.9,3.0,4.5,28.9,4.7
2413,Blois,77258.0,175834.0,120640.6,56.5,14284.0,20588.0,27889.0,13605.0,7866.0,12620.0,15720.0,18234.0,23086.0,26026.0,30122.0,37290.0,4.7,6.2,0.3,63.5,55.7,2.9,4.8,31.9,4.6
2414,Romorantin-Lanthenay,26022.0,56394.0,39599.9,49.6,13088.0,18820.0,25230.0,12142.0,7304.0,11530.0,14462.0,16742.0,21062.0,23642.0,27140.0,33368.0,4.6,6.0,0.3,55.5,47.8,3.2,4.5,40.0,4.5
2415,Vendôme,29390.0,65105.5,45272.7,53.5,14364.0,19992.0,26612.0,12248.0,8836.0,12936.0,15630.0,17818.0,22262.0,24920.0,28682.0,35548.0,4.0,5.4,0.3,61.2,52.3,2.8,6.0,33.5,5.3
2416,Gien,33084.0,74339.5,51289.1,53.7,13318.0,19668.0,26596.0,13278.0,7284.0,11620.0,14774.0,17324.0,22000.0,24880.0,28808.0,35532.0,4.9,6.3,0.3,61.3,53.6,3.2,4.5,34.1,4.6
2417,Montargis,54903.0,126197.0,86173.6,53.3,12808.0,19382.0,26406.0,13598.0,6674.0,11048.0,14342.0,16956.0,21870.0,24686.0,28512.0,35274.0,5.3,6.9,0.3,61.5,53.6,3.4,4.5,33.5,5.0
2418,Orléans,202327.0,480134.0,323429.6,60.3,14644.0,21612.0,29594.0,14950.0,8052.0,12804.0,16218.0,18994.0,24368.0,27620.0,32028.0,39762.0,4.9,6.4,0.3,68.6,61.6,2.9,4.1,26.8,4.6
2419,Pithiviers,21517.0,52942.5,35260.5,55.1,13986.0,19926.0,26780.0,12794.0,8466.0,12341.0,15350.0,17668.0,22260.0,25050.0,28826.0,35484.0,4.2,5.4,0.3,68.2,58.8,3.4,6.0,27.2,4.6
2501,Bayeux,22725.0,51589.0,35520.9,50.6,13694.0,19522.0,26292.0,12598.0,8372.0,12212.0,14938.0,17332.0,21854.0,24640.0,28432.0,35612.0,4.3,5.6,0.3,60.8,51.2,3.0,6.6,33.9,5.3
2502,Caen,198464.0,456653.5,311825.5,55.5,14352.0,20672.0,28054.0,13702.0,8198.0,12734.0,15754.0,18300.0,23208.0,26198.0,30338.0,38092.0,4.6,6.2,0.3,66.5,58.4,3.1,5.0,28.6,4.9
2503,Honfleur,24637.0,51847.5,36832.0,56.1,13950.0,20278.0,29030.0,15080.0,8298.0,12444.0,15290.0,17733.0,23156.0,26590.0,32238.0,43438.0,5.2,7.4,0.4,56.2,46.4,3.0,6.7,34.4,9.4
2504,Lisieux,29597.0,66950.0,46110.0,47.7,12582.0,18406.0,25066.0,12484.0,6809.0,10982.0,13930.0,16274.0,20682.0,23384.0,27114.0,33988.0,5.0,6.7,0.3,62.2,53.3,3.4,5.5,32.8,5.0
2505,Vire Normandie,19110.0,43307.0,29826.5,45.0,13004.0,18070.0,23848.0,10844.0,7628.0,11590.0,14188.0,16196.0,20120.0,22502.0,25552.0,31192.0,4.1,5.5,0.3,62.7,53.2,2.9,6.6,32.2,5.1
2506,Avranches,39439.0,87722.0,60907.8,47.4,13668.0,18774.0,24679.0,11011.0,8568.0,12298.0,14714.0,16832.0,20818.0,23210.0,26460.0,32358.0,3.8,5.0,0.3,61.1,51.3,2.5,7.3,33.3,5.6
2507,Cherbourg-en-Cotentin,89571.0,201863.0,139339.7,51.9,13758.0,19800.0,26876.0,13118.0,8190.0,12198.0,15060.0,17496.0,22252.0,25148.0,29090.0,35766.0,4.4,5.7,0.3,65.4,57.2,3.1,5.1,30.5,4.1
2508,Coutances,26497.0,58621.5,40784.6,47.8,13290.0,18744.0,25266.0,11976.0,8054.0,11870.0,14440.0,16598.0,20996.0,23702.0,27370.0,34422.0,4.3,5.8,0.3,57.9,46.4,2.8,8.7,36.5,5.6
2509,Granville,24892.0,52599.5,37290.0,52.4,14174.0,20036.0,27668.0,13494.0,8976.0,12712.0,15452.0,17730.0,22488.0,25634.0,30156.0,38376.0,4.3,5.9,0.3,53.5,43.4,2.7,7.4,39.6,6.9
2510,Saint-Lô,37346.0,85104.5,58344.5,49.7,13818.0,19344.0,25494.0,11676.0,8290.0,12316.0,15046.0,17282.0,21430.0,23906.0,27448.0,33690.0,4.1,5.3,0.3,65.0,56.5,3.0,5.5,30.7,4.3
