Revenus fiscaux localisés des ménages - Année 2011,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages fiscaux pour médiane, 2 000 personnes pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi 2010,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Écart interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€),Indice de Gini
ZE2010,REG,LIBGEO,NBUC11,RFUCQ111,RFUCQ211,RFUCQ311,RFUCIQ11,RFUCD111,RFUCD211,RFUCD311,RFUCD411,RFUCD611,RFUCD711,RFUCD811,RFUCD911,RFUCRD11,RFUCET11,RFUCMO11,RFUCGI11
2210,22,Amiens,250929.9,11759,18209,25470,13711,6144,10174,13184,15764,20760,23684,27686,35052,5.7,20714.95,20726.19,0.3591
2211,22,Péronne,37953.7,10855,16585,22882,12027,6037,9436,12151,14402,18763,21323,24830,31294,5.2,15733.50,18741.66,0.3497
2301,23,Bernay,40117.4,12551,18207,24811,12260,7483,11158,13831,16084,20470,23167,26759,33397,4.5,15982.91,20445.96,0.3285
2302,23,Évreux,144208.6,13215,19492,26490,13275,7567,11633,14625,17125,21925,24759,28643,35785,4.7,18646.93,21748.50,0.3308
2303,23,Pont-Audemer,34973.4,12471,18131,25103,12632,7592,11079,13737,15960,20510,23426,27190,34142,4.5,23631.49,20855.05,0.3371
2304,23,Vernon - Gisors,81872.4,13372,19489,26820,13448,7931,11775,14771,17208,21991,24954,28970,36415,4.6,20191.63,22087.39,0.3303
2305,23,Dieppe - Caux maritime,83987.9,12188,17844,24556,12368,7066,10770,13444,15673,20105,22849,26598,33540,4.7,17568.16,20085.82,0.3327
2306,23,Le Havre,270457.2,12147,18516,25863,13716,6500,10564,13585,16115,21078,24061,28022,34978,5.4,18665.51,20786.64,0.3458
2307,23,Rouen,544036.5,12807,19224,26595,13788,7001,11143,14241,16801,21765,24792,28814,36139,5.2,20286.13,21663.57,0.3442
2401,24,Bourges,135339.4,13025,18984,25909,12884,7390,11499,14374,16762,21361,24198,28071,34938,4.7,20512.12,21158.67,0.3298
2402,24,Saint-Amand-Montrond,26180.4,11098,16482,22508,11410,5829,9775,12339,14516,18664,20965,24288,30189,5.2,13386.66,18140.78,0.3338
2403,24,Vierzon,32581.2,11629,17344,23351,11722,5880,10032,13047,15249,19487,21911,25151,31087,5.3,15182.62,18890.57,0.3339
2404,24,Chartres,166909.4,14560,20463,27684,13124,9066,13118,15877,18192,22934,25851,29892,37101,4.1,22379.52,23038.10,0.3143
2405,24,Châteaudun,25260.7,12744,18196,24404,11660,7568,11300,14098,16174,20345,22796,26273,32984,4.4,19508.20,20443.31,0.3251
2406,24,Dreux,74366.9,12404,19051,26242,13838,6756,10738,13903,16520,21643,24491,28463,35489,5.3,18493.62,21182.93,0.3402
2407,24,Le Blanc,15630.9,11717,16608,22403,10686,6903,10402,12816,14772,18747,20981,24349,30511,4.4,14721.77,18589.13,0.3216
2408,24,Issoudun,14550.5,12698,17994,24139,11441,7526,11315,13884,16098,20079,22499,25872,32005,4.3,15911.46,20028.41,0.3197
2409,24,Châteauroux,122277.1,12248,17662,23996,11748,7353,10957,13423,15593,19839,22392,25889,32237,4.4,16741.63,19761.21,0.3243
2410,24,Chinon,24321.6,12985,18689,26025,13040,8241,11677,14201,16345,21209,24219,28165,35085,4.3,16158.26,21163.24,0.3217
2411,24,Loches,16290.0,12482,17557,23968,11486,8015,11305,13533,15556,19731,22363,25909,32363,4.0,15509.11,19937.01,0.3183
2412,24,Tours,355440.3,13595,19576,26896,13301,8158,12141,14916,17284,22070,25049,29191,36851,4.5,19814.70,22284.86,0.3316
2413,24,Blois,120606.2,13513,19423,26454,12941,7977,12065,14812,17140,21867,24670,28628,35638,4.5,16388.83,21688.50,0.3218
2414,24,Romorantin-Lanthenay,39992.0,12342,17650,23859,11517,7141,11016,13556,15709,19762,22256,25723,31831,4.5,17617.62,19652.27,0.3219
2415,24,Vendôme,46014.5,13422,18558,25063,11642,8431,12131,14551,16567,20825,23429,27001,33583,4.0,19143.78,21157.82,0.3188
2416,24,Gien,52968.5,12536,18333,25004,12468,6967,11031,13856,16175,20706,23336,27032,33716,4.8,17643.61,20397.23,0.3287
2417,24,Montargis,86704.1,12248,18348,25129,12881,6795,10707,13649,16082,20733,23448,27098,33733,5.0,17497.04,20430.52,0.3365
2418,24,Orléans,318856.9,14008,20491,28165,14157,8060,12375,15462,18021,23125,26269,30506,38159,4.7,21058.76,23059.01,0.3296
2419,24,Pithiviers,34999.5,13269,18998,25522,12253,8281,11906,14573,16831,21214,23886,27478,33968,4.1,15702.03,21036.46,0.3066
2501,25,Bayeux,35707.5,12461,18084,24638,12177,7743,11070,13667,15945,20313,23004,26672,33326,4.3,16899.40,20397.79,0.3265
2502,25,Caen,310281.7,13361,19333,26500,13139,7858,11847,14663,17066,21787,24687,28713,36078,4.6,21919.96,22019.02,0.3352
2503,25,Honfleur,37500.7,12926,18970,27298,14372,7770,11469,14192,16593,21653,25029,30314,40526,5.2,33260.90,23841.46,0.3877
2504,25,Lisieux,47540.0,11473,17129,23631,12158,6428,10066,12762,14950,19400,21999,25584,32149,5.0,23839.23,19455.15,0.3475
2505,25,Vire,26856.4,11992,16856,22402,10410,7307,10656,13046,15059,18718,21032,24045,29478,4.0,24462.36,18817.92,0.3200
2506,25,Avranches,61736.0,12353,17260,23036,10683,8100,11240,13386,15396,19262,21663,24663,30317,3.7,14654.50,19221.40,0.3061
2507,25,Cherbourg-Octeville,140837.3,12443,18010,24771,12328,7558,11068,13611,15841,20372,23097,26807,33155,4.4,16929.72,20103.98,0.3208
2508,25,Coutances,40597.3,12116,17228,23452,11336,7447,10903,13203,15290,19266,21854,25516,32259,4.3,17564.29,19725.80,0.3314
2509,25,Granville,36202.1,13011,18423,25747,12736,8203,11696,14209,16304,20830,23797,28082,36296,4.4,21177.17,21765.23,0.3404
2510,25,Saint-Lô,57984.1,12799,17987,24012,11213,8045,11466,13924,16008,20102,22532,25823,31759,3.9,14689.73,19864.40,0.3060
2511,25,Argentan,27842.3,11890,17200,23113,11223,6932,10586,13025,15141,19266,21622,24906,30622,4.4,15515.82,18935.21,0.3232
2512,25,Flers,68858.8,12192,17171,22790,10598,7446,10919,13323,15301,19066,21372,24485,30184,4.1,22965.66,19079.46,0.3164
2513,25,L'Aigle,23382.4,11383,16963,23149,11766,6383,9978,12569,14918,19153,21605,25003,31421,4.9,14820.74,18876.19,0.3385
2601,26,Beaune,34282.4,13906,20003,27500,13594,8805,12492,15243,17689,22546,25551,30136,39240,4.5,24556.45,23987.65,0.3534
2602,26,Chatillon,12673.8,11996,17305,23637,11641,7315,10701,13209,15215,19536,22111,25472,31831,4.4,14157.10,19461.20,0.3234
2603,26,Dijon,278833.1,14152,20400,27983,13831,8584,12579,15520,18015,22977,26044,30361,38095,4.4,19841.49,23203.09,0.3278
2604,26,Montbard,21982.0,12816,17925,24299,11483,7962,11437,13904,15975,20173,22772,26276,32629,4.1,16186.78,19954.71,0.3120
2605,26,Morvan,24633.4,11365,16401,22941,11576,6301,10013,12459,14484,18659,21367,24908,31109,4.9,14063.31,18396.07,0.3302
2606,26,Nevers,83915.4,12106,18039,24491,12385,6136,10575,13489,15880,20298,22917,26423,32629,5.3,17357.55,19761.12,0.3352
2607,26,Autun,23483.1,12043,17185,23465,11422,7363,10638,13170,15159,19404,21935,25244,31929,4.3,16576.46,19351.96,0.3212
2608,26,Chalon-sur-Saône,133285.1,13000,18692,25465,12465,7940,11621,14231,16490,21025,23792,27503,34318,4.3,17111.47,21102.13,0.3255
2609,26,Louhans,25316.1,12154,17407,23315,11161,8037,11042,13251,15419,19490,21881,25118,30797,3.8,13009.05,19098.88,0.3031
2610,26,Le Creusot - Montceau,70985.3,11986,17335,23416,11430,6895,10632,13216,15334,19430,21930,25210,31092,4.5,14736.62,19070.67,0.3194
2611,26,Charolais,58860.1,12483,17288,23036,10553,8025,11361,13537,15463,19298,21586,24846,30713,3.8,14015.30,19264.39,0.3043
2612,26,Auxerre,143633.3,12397,18311,25153,12756,7023,10923,13744,16069,20673,23458,27205,34053,4.8,19171.31,20650.99,0.3387
2613,26,Avallon,16553.4,12066,17359,23797,11732,6916,10745,13270,15392,19533,22204,25839,32923,4.8,19956.38,19856.34,0.3384
2614,26,Sens,74238.7,12917,18848,25460,12543,7509,11352,14236,16601,21154,23870,27421,34018,4.5,16848.56,20894.22,0.3234
