Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2017,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 23/01/2020       Géographie au 01/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés (%),1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile  (€),4e décile (€) ,6e décile (€),7e décile (€),8e décile (€) ,9e décile (€),Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements (%),dont part des indemnités de chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des autres revenus (%)
CODGEO,LIBGEO,NBMEN17,NBPERS17,NBUC17,PMIMP17,Q117,Q217,Q317,Q3_Q1,D117,D217,D317,D417,D617,D717,D817,D917,RD,S80S2017,GI17,PACT17,PTSA17,PCHO17,PBEN17,PPEN17,PAUT17
2504,Lisieux,28489,62882,43744.0,44.2,13180,19110,25740,12560,7400,11620,14580,16900,21400,24060,27810,34730,4.7,6.345,0.327,61.7,53.4,3.0,5.3,33.6,4.7
2505,Vire Normandie,18982,42367,29361.8,40.6,13530,18680,24520,10980,8090,12040,14720,16800,20760,23100,26210,31700,3.9,5.350,0.301,62.2,53.2,2.7,6.3,32.8,5.0
2506,Avranches,39659,87339,60895.1,42.5,14160,19370,25380,11210,9070,12830,15250,17390,21460,23870,27220,33100,3.6,4.896,0.292,60.7,51.7,2.4,6.6,33.5,5.8
2507,Cherbourg-en-Cotentin,90525,200955,139532.1,48.5,14370,20450,27760,13390,8710,12870,15720,18110,22950,25910,29970,36940,4.2,5.527,0.307,65.0,57.2,2.8,5.0,31.0,4.0
2508,Coutances,26794,58480,40948.8,43.9,13980,19360,26220,12240,8630,12510,15190,17260,21750,24530,28400,35710,4.1,5.625,0.319,58.0,46.6,2.6,8.8,36.6,5.4
2509,Granville,25384,52897,37762.3,48.9,14930,20720,28630,13700,9650,13520,16170,18450,23400,26670,31080,39420,4.1,5.698,0.329,53.1,43.3,2.5,7.3,39.9,7.0
2510,Saint-Lô,37535,84464,58192.9,45.3,14310,19780,25970,11670,8590,12820,15550,17740,21960,24480,27910,34280,4.0,5.171,0.295,64.6,56.4,2.7,5.5,31.2,4.2
2511,Argentan,18059,39431,27539.6,43.4,13500,19160,25300,11800,7390,11940,14710,17010,21270,23810,27140,33220,4.5,5.838,0.307,59.7,51.0,2.8,6.0,35.7,4.6
2512,Flers,42305,92754,64776.1,41.9,13650,18930,24820,11170,7840,12130,14900,16980,20930,23370,26620,32500,4.1,5.513,0.303,59.3,51.0,2.8,5.5,35.6,5.1
2513,L'Aigle,14062,30725,21460.6,44.7,12840,18890,25410,12570,6800,11140,14250,16620,21290,23840,27330,33610,4.9,6.627,0.327,59.2,50.8,2.9,5.4,35.7,5.1
