Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 25/04/2019      Géographie au 01/01/2015,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés (%),1er quartile (€),Médiane (€),3e quartile (€),Ecart interquartile (€),1er décile (€),2e décile (€),3e décile  (€),4e décile (€) ,6e décile (€),7e décile (€),8e décile (€) ,9e décile (€),Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des salaires et traitements hors chômage (%),Part des indemnités chômage (%),Part des revenus d'activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des autres revenus (%)
CODGEO,LIBGEO,NBMEN14,NBPERS14,NBUC14,PMIMP14,Q114,Q214,Q314,Q3_Q1,D114,D214,D314,D414,D614,D714,D814,D914,RD,S80S2014,GI14,PTSA14,PCHO14,PBEN14,PPEN14,PAUT14
1111,Poissy,94959,253563,163538.5,69.3,14486.0,23490.0,34364.0,19878.0,7946.0,12468.0,16364.0,19976.0,27226.0,31704.0,37546.0,47842.0,6.0,7.7,0.4,69.3,2.9,3.0,20.9,3.9
1112,Rambouillet,28890,72895,48339.5,77.7,19822.0,27948.0,38142.0,18320.0,13306.0,18006.0,21512.0,24784.0,31418.0,35594.0,41336.0,51308.0,3.9,5.1,0.3,65.1,2.2,3.7,24.0,5.0
1113,Plaisir,20719,55614,35915.7,76.8,18126.0,26772.0,36710.0,18584.0,10496.0,15938.0,20000.0,23540.0,30348.0,34338.0,39690.0,48912.0,4.7,5.7,0.3,70.9,2.4,3.0,19.9,3.8
1114,Étampes,24254,61665,40534.4,65.6,14778.0,22038.0,30060.0,15282.0,8456.0,12996.0,16432.0,19255.0,24994.0,28080.0,32522.0,39994.0,4.7,6.0,0.3,64.6,2.8,4.1,23.9,4.6
1115,Évry,126524,343658,219808.4,65.1,12342.0,21168.0,30348.0,18006.0,6276.0,10401.0,14232.0,17812.0,24518.0,28196.0,32942.0,41008.0,6.5,8.1,0.4,69.9,3.2,2.7,21.0,3.2
1116,Saclay,460749,1177048,773106.7,75.6,17650.0,26980.0,38672.0,21022.0,10082.0,15446.0,19650.0,23336.0,30956.0,35762.0,42220.0,53890.0,5.3,6.9,0.4,68.4,2.3,3.1,21.5,4.7
1117,Créteil,212958,563025,365354.9,70.2,14878.0,23422.0,32808.0,17930.0,8184.0,12838.0,16774.0,20200.0,26718.0,30536.0,35534.0,44126.0,5.4,6.8,0.3,68.2,2.7,3.3,21.9,3.9
1118,Orly,197864,508558,331830.3,61.1,10954.0,19090.0,28524.0,17570.0,5586.0,9280.0,12588.0,15840.0,22514.0,26318.0,31118.0,38958.0,7.0,8.8,0.4,70.6,3.4,2.5,20.6,2.9
1119,Cergy,147831,400677,257238.7,69.0,14566.0,23046.0,32228.0,17662.0,7926.0,12536.0,16440.0,19836.0,26350.0,30022.0,34892.0,42922.0,5.4,6.7,0.3,71.4,3.1,2.9,19.4,3.2
2101,Charleville-Mézières,96454,221543,151618.2,49.0,11142.0,17768.0,24698.0,13556.0,5164.0,9480.0,12684.0,15320.0,20188.0,23010.0,26708.0,33076.0,6.4,8.5,0.4,55.8,3.6,5.2,30.5,4.9
2102,Troyes,133924,302488,207786.9,54.9,12634.0,19118.0,26382.0,13748.0,6534.0,10900.0,14200.0,16786.0,21516.0,24506.0,28662.0,36648.0,5.6,7.7,0.4,53.3,3.3,8.5,28.9,6.0
2103,Châlons-en-Champagne,44053,101765,69246.9,58.9,13688.0,20270.0,27670.0,13982.0,7772.0,11956.0,15238.0,17858.0,22828.0,25894.0,29992.0,37854.0,4.9,6.6,0.3,56.8,2.7,8.1,27.2,5.2
2104,Épernay,46679,105924,72861.2,63.4,14668.0,21392.0,30051.0,15383.0,8788.0,13058.0,16152.0,18792.0,24196.0,27768.0,32930.0,44510.0,5.1,6.9,0.4,48.5,2.4,15.1,24.7,9.3
2105,Reims,146832,334686,228766.7,58.2,12954.0,20346.0,28860.0,15906.0,6402.0,11100.0,14640.0,17572.0,23248.0,26686.0,31626.0,41178.0,6.4,8.7,0.4,57.9,3.0,8.4,25.0,5.7
2106,Chaumont - Langres,49304,107962,75459.7,54.1,13597.0,19234.0,25620.0,12023.0,8114.0,12156.0,14862.0,17152.0,21432.0,24012.0,27582.0,33842.0,4.2,5.5,0.3,53.5,2.7,5.9,33.1,4.8
2107,Vitry-le-François - Saint-Dizier,48894,111315,76476.1,50.3,11758.0,17831.0,24196.0,12438.0,6308.0,10220.0,13160.0,15566.0,20109.0,22710.0,26118.0,32403.0,5.1,6.9,0.3,53.1,3.6,5.7,33.0,4.6
2201,Château-Thierry,27385,66908,44675.1,57.8,13424.0,19612.0,26687.0,13263.0,7770.0,11846.0,14808.0,17302.0,22188.0,25014.0,28866.0,36436.0,4.7,6.4,0.3,56.6,3.2,8.4,26.0,5.8
2202,Tergnier,23547,55193,37388.2,48.1,10514.0,17150.0,23816.0,13302.0,4580.0,8814.0,12050.0,14730.0,19508.0,22242.0,25674.0,31896.0,7.0,8.6,0.3,56.1,3.7,4.6,32.5,3.1
2203,La Thiérache,24314,57026,38631.8,44.0,9660.0,16117.0,22614.0,12954.0,3708.0,7988.0,11142.0,13818.0,18434.0,21074.0,24428.0,30124.0,8.1,9.8,0.4,51.3,3.7,7.3,32.3,5.4
2204,Laon,41140,98160,66022.0,50.5,11662.0,18192.0,25228.0,13566.0,5874.0,10010.0,13152.0,15806.0,20746.0,23526.0,27323.0,34426.0,5.9,7.9,0.4,56.7,3.4,7.0,28.1,4.8
2205,Saint-Quentin,57850,136118,92088.2,49.4,10516.0,17534.0,24692.0,14176.0,4428.0,8772.0,12110.0,14992.0,20060.0,22964.0,26822.0,34104.0,7.7,10.2,0.4,54.5,3.6,7.1,30.2,4.6
2206,Soissons,38886,92710,62523.9,52.2,12050.0,18444.0,25464.0,13414.0,6248.0,10416.0,13502.0,16106.0,20948.0,23738.0,27560.0,34712.0,5.6,7.5,0.3,55.8,3.6,6.1,29.6,4.9
2207,Beauvais,99058,251661,165586.0,59.2,13556.0,20202.0,27308.0,13752.0,7528.0,11884.0,15072.0,17716.0,22696.0,25590.0,29398.0,35980.0,4.8,6.2,0.3,62.8,3.3,5.0,24.8,4.1
2208,Compiègne,81146,201019,133584.3,60.6,14036.0,20798.0,28596.0,14560.0,8050.0,12294.0,15552.0,18204.0,23510.0,26666.0,30956.0,38740.0,4.8,6.4,0.3,62.7,3.3,4.5,25.0,4.5
2209,Abbeville,29359,68678,46719.8,49.9,11692.0,18020.0,24978.0,13286.0,5874.0,9958.0,13140.0,15612.0,20424.0,23234.0,27066.0,34430.0,5.9,7.9,0.4,51.8,3.3,7.9,31.5,5.5
2210,Amiens,156418,369830,249876.5,54.8,12402.0,19286.0,26874.0,14472.0,6080.0,10580.0,14002.0,16780.0,21956.0,25024.0,29198.0,36794.0,6.1,8.1,0.4,58.9,3.0,6.6,26.6,4.9
2211,Péronne,23246,56140,37718.6,50.1,11486.0,17750.0,24182.0,12696.0,5998.0,9974.0,12956.0,15462.0,19972.0,22654.0,26294.0,32996.0,5.5,7.5,0.3,53.7,3.8,8.0,29.7,4.8
2301,Bernay,25331,58096,39770.5,55.2,13142.0,19216.0,26082.0,12940.0,7466.0,11570.0,14514.0,16956.0,21606.0,24378.0,28144.0,34920.0,4.7,6.4,0.3,52.9,3.4,6.1,32.3,5.3
2302,Évreux,89300,216973,144945.2,59.4,13826.0,20320.0,27588.0,13762.0,7568.0,12064.0,15318.0,17926.0,22834.0,25758.0,29738.0,36842.0,4.9,6.4,0.3,60.3,3.4,4.8,27.0,4.5
2303,Pont-Audemer,22098,52731,35457.9,54.1,13344.0,19276.0,26410.0,13066.0,7978.0,11840.0,14636.0,17034.0,21700.0,24606.0,28488.0,35342.0,4.4,6.0,0.3,58.0,3.4,5.6,27.9,5.1
2304,Vernon - Gisors,49175,123225,81559.7,61.0,13940.0,20506.0,28052.0,14112.0,8052.0,12186.0,15472.0,18044.0,23094.0,26192.0,30360.0,37959.0,4.7,6.2,0.3,61.5,3.5,4.5,26.1,4.4
2305,Dieppe - Caux maritime,52752,122097,83363.6,53.4,13048.0,18944.0,25872.0,12824.0,7368.0,11424.0,14384.0,16720.0,21304.0,24122.0,28024.0,35292.0,4.8,6.4,0.3,55.5,3.0,5.9,31.1,4.5
2306,Le Havre,168051,394936,267211.7,56.7,12912.0,19712.0,27386.0,14474.0,6614.0,11140.0,14486.0,17176.0,22358.0,25472.0,29714.0,36906.0,5.6,7.4,0.3,60.0,3.4,4.3,28.3,4.0
2307,Rouen,342717,800881,542838.1,57.9,13440.0,20275.0,27922.0,14482.0,6912.0,11590.0,15018.0,17742.0,22906.0,26036.0,30248.0,37756.0,5.5,7.2,0.3,60.9,3.3,4.7,27.1,4.0
2401,Bourges,87055,191942,133390.5,57.5,13818.0,20088.0,27260.0,13442.0,7632.0,12140.0,15234.0,17714.0,22550.0,25486.0,29466.0,36346.0,4.8,6.3,0.3,56.0,2.6,5.1,31.9,4.4
2402,Saint-Amand-Montrond,17018,35056,25155.7,48.0,11956.0,17624.0,23922.0,11966.0,6154.0,10482.0,13282.0,15516.0,19792.0,22320.0,25760.0,31694.0,5.2,6.7,0.3,44.4,3.0,6.2,41.8,4.6
2403,Vierzon,20901,45519,31800.9,49.6,12074.0,18252.0,24452.0,12378.0,5280.0,10262.0,13596.0,16050.0,20444.0,23006.0,26284.0,32192.0,6.1,7.7,0.3,51.2,3.3,4.2,37.5,3.8
2404,Chartres,104038,248710,167288.1,63.8,15282.0,21524.0,28876.0,13594.0,9370.0,13682.0,16706.0,19116.0,24026.0,27024.0,31150.0,38510.0,4.1,5.4,0.3,61.1,2.8,5.1,26.3,4.7
2405,Châteaudun,15990,35942,24783.0,55.3,13292.0,19184.0,25614.0,12322.0,7532.0,11704.0,14798.0,17104.0,21506.0,24052.0,27540.0,34064.0,4.5,5.9,0.3,49.4,2.8,6.5,35.9,5.4
2406,Dreux,44066,114301,74538.7,58.8,13024.0,20012.0,27514.0,14490.0,7004.0,11292.0,14636.0,17426.0,22732.0,25708.0,29742.0,37038.0,5.3,6.9,0.3,61.3,3.5,4.6,26.3,4.3
2407,Le Blanc,10107,21064,15051.1,47.0,12548.0,17750.0,23434.0,10886.0,7506.0,11264.0,13778.0,15770.0,19784.0,22006.0,25362.0,31712.0,4.2,5.6,0.3,45.0,2.4,6.4,41.4,4.8
2408,Issoudun,9283,19922,14026.4,54.9,13672.0,19248.0,25548.0,11876.0,7958.0,12112.0,14992.0,17140.0,21590.0,24046.0,27516.0,33876.0,4.3,5.8,0.3,53.2,3.0,6.3,32.6,4.9
