Revenus fiscaux des ménages - Année 2004,,,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,,,
"© Insee     Source : Insee-DGI, Revenus fiscaux des ménages",,,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,,,
,,,"Nb de ménages
au RP 1999",PSDC99,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),"Intervalle
inter-quartiles (€)",1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),"Rapport
inter-déciles",Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,MEN99,PSDC99,NBUC04,RFUCQ104,RFUCQ204,RFUCQ304,RFUCIQ04,RFUCD104,RFUCD204,RFUCD304,RFUCD404,RFUCD604,RFUCD704,RFUCD804,RFUCD904,RFUCRD04,RFUCET04,RFUCMO04,RFUCGI04
2241,22,Thiérache,26691,68822,43501.0,7716,12254,17479,9763,4059,6651,8673,10506,14088,16229,18920,23534,5.8,11058.37,13703.94,0.3537
2242,22,Laonnois,36871,96905,61875.4,9255,14286,20092,10837,5374,8159,10305,12306,16340,18689,21877,27598,5.1,12695.95,16172.33,0.3442
2307,23,Pays-de-Bray,14001,35025,23229.4,9810,14337,19699,9889,6089,8761,10778,12496,16284,18438,21206,26201,4.3,11658.86,15945.16,0.3192
2308,23,Vallée-de-la-Bresle,18646,47672,31263.5,9977,14334,19618,9641,6332,8944,10962,12637,16103,18239,21289,26556,4.2,13751.29,16286.95,0.3240
2311,23,Fécamp,15715,40081,26429.7,9712,14260,19816,10104,6055,8640,10697,12451,16204,18505,21529,26832,4.4,12985.59,16198.02,0.3295
2313,23,Pont-Audemer,16073,40450,27559.5,10145,14591,20488,10343,6438,9074,11099,12876,16639,19032,22196,27982,4.3,14145.70,16928.59,0.3319
2314,23,Bernay,24552,62183,41200.1,10338,15037,20751,10413,6476,9199,11353,13185,17029,19289,22545,28462,4.4,16359.14,17140.75,0.3290
2316,23,Verneuil-sur-Avre,11024,27318,17959.0,10146,14730,20081,9935,6284,9060,11169,12981,16664,18732,21708,27440,4.4,13799.47,16634.16,0.3243
2317,23,Vernon,32697,88767,57837.3,11061,16537,22886,11825,6558,9716,12293,14474,18747,21259,24837,31461,4.8,14354.33,18655.54,0.3313
2318,23,Gisors,10346,27529,18346.9,10843,15600,21153,10310,6965,9741,11844,13750,17608,19854,22964,28311,4.1,13632.46,17487.62,0.3135
2321,23,Rouen,288745,724721,464696.2,10473,15956,22289,11816,5750,9094,11692,13881,18156,20726,24178,30318,5.3,13948.13,17887.21,0.3415
2322,23,Dieppe,38794,98451,64745.4,9756,14479,20071,10315,5824,8651,10798,12659,16375,18672,21808,27617,4.7,13866.71,16467.94,0.3371
2323,23,Le Havre,141181,360488,228904.2,9616,14981,21236,11620,5130,8293,10818,12935,17159,19701,23081,28864,5.6,14138.47,16862.04,0.3496
2324,23,Lillebonne,22382,59573,38896.3,10513,15384,21221,10708,6766,9337,11582,13498,17414,19776,23034,28319,4.2,11889.64,17202.78,0.3122
2325,23,Evreux,64407,167934,110638.2,11225,16534,22693,11468,6570,9897,12401,14537,18663,21157,24553,30608,4.7,13676.09,18455.59,0.3251
2411,24,Bourges,74661,179699,118294.9,10706,15838,21820,11114,6194,9440,11838,13875,17883,20316,23610,29260,4.7,13180.24,17558.44,0.3260
2412,24,Vierzon,20699,48766,31747.1,9798,14589,19617,9819,5470,8562,10866,12741,16341,18322,21120,26193,4.8,11612.80,15877.76,0.3241
2413,24,Saint-Amand-Montrond,20587,48187,31623.7,9656,14125,19314,9658,5863,8579,10601,12399,16002,18094,20895,26050,4.4,12264.80,15720.24,0.3232
2414,24,Aubigny,16218,37776,25321.4,10200,14794,20539,10339,6509,9214,11208,12995,16723,19072,22254,28482,4.4,19283.27,17165.07,0.3356
2421,24,Chartres,75461,194152,128768.9,12407,17372,23481,11074,7864,11175,13500,15430,19455,21929,25293,31333,4.0,13891.40,19413.08,0.3051
2422,24,Dreux,43769,120298,78017.2,10118,15630,21768,11650,5758,8778,11382,13556,17792,20237,23592,29372,5.1,13419.86,17440.61,0.3377
2423,24,Châteaudun,23263,56886,37536.5,11158,15498,20713,9555,7253,10099,12100,13785,17282,19381,22367,27770,3.8,11965.28,17260.83,0.3005
2424,24,Nogent-le-Rotrou,15121,36329,23999.2,10712,15024,20121,9409,6720,9671,11657,13366,16773,18834,21679,26556,4.0,11801.14,16653.74,0.3045
2431,24,Châteauroux,49918,117553,77217.1,10469,15111,20694,10225,6435,9344,11515,13330,17072,19320,22373,27856,4.3,14459.58,16958.96,0.3215
2432,24,Argenton-sur-Creuse,21795,49806,33893.5,9487,13642,18798,9311,6008,8515,10352,12006,15424,17481,20349,25495,4.2,11895.55,15458.03,0.3254
2433,24,Issoudun,15133,34852,23649.9,10575,14775,19863,9288,6739,9577,11534,13286,16558,18593,21331,26196,3.9,11658.40,16409.56,0.3035
2434,24,La Châtre,12645,28928,19712.2,9473,13656,18796,9323,6225,8541,10307,11958,15500,17601,20296,25403,4.1,11633.41,15438.34,0.3197
2441,24,Tours,161600,379742,251650.2,11302,16514,22913,11611,6789,10043,12442,14500,18702,21305,24909,31596,4.7,14587.71,18782.49,0.3320
2442,24,Amboise,26429,67683,46439.6,11418,16021,21670,10252,7636,10361,12411,14209,17978,20287,23478,29360,3.8,12501.77,18023.41,0.3033
2443,24,Loches,20154,48773,32541.3,10005,13970,19179,9174,6494,9093,10868,12404,15797,17863,20687,26091,4.0,12224.21,15919.05,0.3172
2444,24,Chinon,23222,57805,38196.5,10033,14338,19891,9858,6411,9058,10953,12657,16248,18567,21638,27140,4.2,11804.60,16216.83,0.3159
2451,24,Blois,73073,177282,118333.8,11454,16370,22269,10815,6919,10241,12507,14454,18361,20772,24095,30065,4.3,13261.64,18267.99,0.3169
2452,24,Vendôme,28437,68014,45869.4,10961,15098,20387,9426,7117,9918,11831,13448,16927,19091,22064,27543,3.9,14337.20,17104.00,0.3082
2453,24,Romorantin,29091,69672,46983.3,10441,15044,20507,10066,6694,9327,11473,13298,16915,19178,22141,27705,4.1,12751.59,16928.35,0.3161
2461,24,Orléans,152572,382314,252185.0,11931,17529,24134,12204,6894,10541,13169,15396,19812,22486,26130,32623,4.7,14810.91,19566.84,0.3240
2462,24,Montargis,47710,114614,79732.8,10577,15521,21219,10642,6343,9348,11683,13636,17519,19804,23005,28637,4.5,14317.16,17418.30,0.3273
2463,24,Pithiviers,22300,57120,38285.7,11491,16133,21685,10194,7560,10388,12482,14278,18034,20322,23304,28717,3.8,13282.68,17931.72,0.2974
2464,24,Gien,26104,64078,43257.6,10553,15538,21234,10681,6228,9404,11662,13667,17523,19830,22961,28376,4.6,12835.22,17202.00,0.3213
2501,25,Caen-Bayeux,192255,485859,314037.0,10623,15738,21919,11296,6337,9379,11750,13754,17858,20352,23780,29974,4.7,14233.58,17858.82,0.3349
2502,25,Lisieux,48715,119715,81056.5,9677,14451,20605,10928,5667,8462,10686,12602,16491,18997,22498,29428,5.2,16535.01,17191.91,0.3646
2503,25,Vire,22755,55463,36092.6,9583,13531,18396,8813,6104,8617,10398,11974,15211,17209,19783,24357,4.0,14032.97,15208.25,0.3157
2504,25,Cherbourg-Octeville,78112,198740,127503.8,9731,14454,20158,10427,5919,8633,10728,12598,16439,18759,21753,26938,4.6,12018.48,16172.34,0.3259
