Analyse fonctionnelle des emplois,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Emplois dans les fonctions et emplois des cadres des fonctions métropolitaines dans les communes en 2006,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Recensement de la population 2006 exploitation complémentaire au lieu de travail",,,,,,,,,,,,,,,,,,,,,,,,,
Champ : France (y compris les DOM hors Mayotte),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Emploi des cadres des fonctions métropolitaines,,,,,
Commune,,Code,,,Emploi dans la fonction :,,,,,,,,,,,,,,,Fonction,,,,,
Code,Libellé,Région,Département,Emploi total,Administration publique,Agriculture,Bâtiment-Travaux Publics,Commerce inter-entreprises,"Conception, Recherche","Culture, Loisirs",Distribution,"Education, Formation","Entretien, Réparation",Fabrication,Gestion,"Transports, Logistique",Prestations Intellectuelles,"Santé, Action Sociale",Services de Proximité,"Commerce 
inter-entreprises","Conception, Recherche","Culture, Loisirs",Gestion,Prestations Intellectuelles,Total
CODGEO,LIBGEO,REG,DEP,ELT06,ADMPUB06,AGRICU06,BTP06,COMINT06,CONREC06,CULLOI06,DISTRI06,EDUFOR06,ENTREP06,FABRIC06,GESTIO06,LOGIST06,PREINT06,SANSOC06,SERPRO06,COMINT_CAD06,CONREC_CAD06,CULLOI_CAD06,GESTIO_CAD06,PREINT_CAD06,CFM06
01079,Champagne-en-Valromey,84,01,358,24,52,8,8,0,4,28,4,48,6,40,39,0,44,52,0,0,4,8,0,12
01080,Champdor-Corcelles,84,01,95,0,32,31,0,0,0,4,0,0,12,4,0,4,4,4,0,0,0,0,4,4
01081,Champfromier,84,01,685,14,0,21,35,57,4,11,15,35,296,89,39,10,19,40,28,41,4,20,4,96
01082,Chanay,84,01,254,4,20,0,4,0,4,4,12,63,12,28,4,0,91,8,0,0,4,0,0,4
01083,Chaneins,84,01,152,8,16,16,8,4,0,0,8,12,28,8,0,4,4,36,0,0,0,0,4,4
01084,Chanoz-Châtenay,84,01,68,0,32,8,0,3,4,0,0,4,8,0,8,0,0,0,0,0,0,0,0,0
01085,La Chapelle-du-Châtelard,84,01,56,0,24,0,0,0,0,4,0,0,4,4,0,0,0,20,0,0,0,0,0,0
01087,Charix,84,01,28,0,4,4,4,0,0,0,0,0,0,0,4,4,0,8,4,0,0,0,0,4
01088,Charnoz-sur-Ain,84,01,254,4,16,28,27,0,4,16,8,20,17,28,31,8,26,23,11,0,0,0,4,15
01089,Château-Gaillard,84,01,483,13,21,89,17,8,12,21,8,45,73,36,71,12,10,45,9,4,0,8,0,21
01090,Châtenay,84,01,40,0,20,0,4,0,0,0,4,0,4,0,0,0,0,8,0,0,0,0,0,0
01092,Châtillon-la-Palud,84,01,228,8,12,7,4,0,0,0,18,37,20,16,16,0,34,55,0,0,0,0,0,0
01093,Châtillon-sur-Chalaronne,84,01,"2,519",97,107,172,59,68,14,152,157,226,458,292,162,82,226,247,16,37,4,52,28,137
01094,Chavannes-sur-Reyssouze,84,01,68,0,16,4,0,0,0,0,4,4,0,0,17,0,0,24,0,0,0,0,0,0
01095,Nivigne et Suran,84,01,175,4,16,8,13,8,4,7,4,12,47,20,0,4,0,28,4,4,4,8,0,20
01096,Chaveyriat,84,01,147,8,35,36,0,3,0,0,15,0,23,4,0,4,0,20,0,0,0,4,0,4
01098,Chazey-Bons,84,01,415,8,8,76,8,0,4,83,0,44,52,56,40,0,4,32,4,0,4,8,0,16
01099,Chazey-sur-Ain,84,01,175,12,12,17,8,0,4,20,0,21,12,8,4,4,16,36,0,0,4,0,0,4
01100,Cheignieu-la-Balme,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01101,Chevillard,84,01,12,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0
01102,Chevroux,84,01,113,0,32,11,0,0,0,12,8,4,16,8,12,0,0,11,0,0,0,4,0,4
01103,Chevry,84,01,94,0,17,8,4,0,0,8,12,12,3,4,8,4,0,12,4,0,0,0,0,4
01104,Chézery-Forens,84,01,87,16,0,4,0,0,0,7,8,4,12,8,8,4,12,4,0,0,0,0,4,4
01105,Civrieux,84,01,260,4,20,21,8,7,4,21,23,29,20,24,2,0,40,37,0,0,4,0,0,4
01106,Cize,84,01,23,0,8,3,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0
01107,Cleyzieu,84,01,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01108,Coligny,84,01,317,46,8,16,8,4,0,40,38,43,23,12,23,0,32,25,0,4,0,4,0,8
01109,Collonges,84,01,180,13,31,33,3,0,0,22,4,13,3,17,3,3,19,17,0,0,0,4,3,7
01110,Colomieu,84,01,20,4,8,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0
01111,Conand,84,01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
01112,Condamine,84,01,50,0,0,0,0,0,0,4,4,8,8,4,0,0,14,8,0,0,0,0,0,0
01113,Condeissiat,84,01,168,4,56,17,0,0,4,21,8,12,0,9,0,4,0,33,0,0,0,4,0,4
01114,Confort,84,01,181,4,4,24,0,0,0,16,7,20,41,8,11,0,35,12,0,0,0,0,0,0
01115,Confrançon,84,01,185,16,24,0,8,0,0,12,4,4,39,15,19,4,0,40,4,0,0,0,0,4
01116,Contrevoz,84,01,52,0,16,4,0,0,0,0,4,4,0,4,4,0,0,16,0,0,0,4,0,4
01117,Conzieu,84,01,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
01118,Corbonod,84,01,254,4,43,27,4,0,8,4,4,38,12,20,8,0,71,12,0,0,4,4,0,8
01121,Corlier,84,01,19,0,7,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
01123,Cormoranche-sur-Saône,84,01,181,8,4,45,12,0,0,8,12,8,39,16,8,4,0,16,4,0,0,0,0,4
01124,Cormoz,84,01,63,0,16,12,0,0,0,4,0,0,12,0,4,0,8,8,0,0,0,0,0,0
01125,Corveissiat,84,01,160,4,30,4,4,4,4,7,0,4,68,8,8,0,0,16,0,0,4,0,0,4
01127,Courmangoux,84,01,50,0,0,11,0,0,4,4,0,0,0,4,12,0,0,15,0,0,0,0,0,0
01128,Courtes,84,01,153,8,21,0,0,0,0,0,0,12,4,4,96,0,4,4,0,0,0,0,0,0
01129,Crans,84,01,25,0,0,0,0,0,0,4,0,0,5,4,4,0,0,8,0,0,0,0,0,0
01130,Bresse Vallons,84,01,365,24,28,27,8,16,4,16,12,63,67,21,30,4,0,47,4,4,4,8,4,24
01133,Cressin-Rochefort,84,01,37,0,0,4,0,0,0,0,8,4,8,0,0,0,0,12,0,0,0,0,0,0
01134,Crottet,84,01,472,0,8,105,31,4,0,37,8,16,88,56,73,8,8,31,0,0,0,12,4,16
01135,Crozet,84,01,279,13,12,50,4,0,17,8,16,15,11,40,20,20,4,50,0,0,12,8,12,31
01136,Cruzilles-lès-Mépillat,84,01,37,0,8,4,4,0,0,0,4,0,0,0,0,0,4,12,0,0,0,0,0,0
01138,Culoz,84,01,"1,924",44,0,101,106,117,28,77,62,142,617,204,230,38,65,93,37,56,4,42,4,144
01139,Curciat-Dongalon,84,01,69,0,32,16,0,0,0,0,5,4,8,0,0,0,0,4,0,0,0,0,0,0
01140,Curtafond,84,01,116,8,32,4,0,0,0,4,4,12,16,8,0,0,9,20,0,0,0,0,0,0
01141,Cuzieu,84,01,28,4,8,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
01142,Dagneux,84,01,"1,594",46,12,101,72,33,8,34,136,170,431,214,179,30,40,87,26,13,4,62,17,121
01143,Divonne-les-Bains,84,01,"2,049",155,43,122,36,24,196,264,64,100,49,287,100,72,118,420,4,16,28,93,60,200
01145,Dompierre-sur-Veyle,84,01,192,4,30,46,8,0,0,7,4,15,12,12,20,0,4,31,0,0,0,4,0,4
01146,Dompierre-sur-Chalaronne,84,01,58,0,17,8,8,0,4,0,0,0,0,4,0,0,0,17,0,0,0,0,0,0
01147,Domsure,84,01,79,4,32,0,0,0,0,8,0,12,0,4,0,0,0,20,0,0,0,0,0,0
01148,Dortan,84,01,361,20,8,34,3,13,0,15,13,25,124,7,39,8,11,42,0,5,0,0,4,9
01149,Douvres,84,01,61,0,0,22,0,0,0,1,12,0,3,4,4,0,6,8,0,0,0,0,0,0
01150,Drom,84,01,24,0,0,4,0,0,4,0,4,4,4,0,0,0,0,4,0,0,4,0,0,4
01151,Druillat,84,01,137,4,24,32,4,0,8,4,8,13,4,0,8,0,0,28,0,0,0,0,0,0
01152,Échallon,84,01,78,0,4,12,8,4,4,0,8,4,7,4,4,8,0,12,0,0,4,0,4,8
01153,Échenevex,84,01,163,8,8,4,0,0,8,15,8,13,0,34,12,4,12,39,0,0,4,15,4,23
01155,Évosges,84,01,24,0,8,0,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0
01156,Faramans,84,01,41,4,17,0,4,0,0,4,4,4,1,0,0,0,0,4,0,0,0,0,0,0
01157,Fareins,84,01,362,16,16,64,16,8,16,19,4,32,34,52,16,4,20,45,0,4,8,8,4,25
01158,Farges,84,01,55,4,4,0,0,4,4,0,7,4,4,4,7,0,0,12,0,4,4,0,0,8
01159,Feillens,84,01,"1,314",15,102,82,58,11,7,82,60,81,280,189,216,20,25,86,20,4,3,48,8,83
01160,Ferney-Voltaire,84,01,"3,357",195,4,125,65,56,90,581,276,213,104,666,152,143,251,438,16,48,40,126,107,336
01162,Flaxieu,84,01,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01163,Foissiat,84,01,238,8,72,36,4,0,0,16,20,8,19,12,24,0,4,16,4,0,0,0,0,4
01165,Francheleins,84,01,91,0,13,8,4,4,8,12,4,4,12,0,0,0,0,20,0,0,4,0,0,4
01166,Frans,84,01,255,4,8,50,21,16,0,8,12,24,36,34,12,4,0,25,4,4,0,12,4,24
01167,Garnerans,84,01,64,0,4,4,8,0,0,4,4,0,4,4,5,4,4,20,0,0,0,0,4,4
01169,Genouilleux,84,01,26,0,0,4,0,0,0,0,4,0,7,0,0,0,0,11,0,0,0,0,0,0
01170,Béard-Géovreissiat,84,01,120,4,4,16,0,4,0,0,3,4,38,16,13,4,0,15,0,4,0,0,0,4
01171,Géovreisset,84,01,170,0,0,18,4,8,0,4,4,11,81,8,14,0,1,18,0,8,0,4,0,12
01173,Gex,84,01,"2,324",229,24,260,19,29,41,215,208,188,85,274,140,74,230,308,0,29,17,68,41,154
01174,Giron,84,01,35,0,4,0,4,0,0,4,0,3,0,0,8,0,4,8,0,0,0,0,0,0
01175,Gorrevod,84,01,165,0,34,26,0,0,4,0,0,17,20,13,25,0,4,22,0,0,0,4,0,4
01177,Grand-Corent,84,01,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01179,Grièges,84,01,502,25,19,24,16,5,12,11,16,36,168,32,66,22,8,41,4,1,4,8,8,25
01180,Grilly,84,01,90,4,16,20,0,3,3,0,0,0,0,4,13,0,0,28,0,3,0,4,0,7
01181,Groissiat,84,01,715,12,4,45,74,18,4,17,9,40,261,108,75,19,4,25,27,8,0,14,0,50
01183,Guéreins,84,01,321,8,4,24,40,4,4,13,12,36,49,47,52,0,4,24,0,0,0,12,0,12
01184,Hautecourt-Romanèche,84,01,92,4,8,20,0,0,4,8,8,12,12,0,4,0,0,12,0,0,4,0,0,4
01185,Plateau d'Hauteville,84,01,"2,496",225,51,117,15,0,12,131,97,403,111,179,119,11,817,208,8,0,8,27,0,43
01187,Haut Valromey,84,01,266,0,31,24,0,16,16,12,8,28,51,16,16,0,13,36,0,16,0,4,0,20
01188,Illiat,84,01,83,0,32,12,0,0,0,0,4,4,8,4,0,0,0,19,0,0,0,0,0,0
01189,Injoux-Génissiat,84,01,139,0,4,20,0,8,4,4,0,31,44,8,4,0,4,8,0,0,4,0,0,4
01190,Innimond,84,01,16,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01191,Izenave,84,01,31,4,4,0,0,0,0,0,4,4,7,0,0,0,0,8,0,0,0,0,0,0
01192,Izernore,84,01,"1,968",48,20,112,54,115,8,23,20,84,"1,060",193,138,24,11,58,34,88,8,54,0,184
01193,Izieu,84,01,34,0,4,4,0,0,0,0,4,0,4,5,0,0,5,8,0,0,0,0,0,0
01194,Jassans-Riottier,84,01,"1,575",81,18,125,67,21,25,167,112,107,225,135,132,24,204,133,4,9,12,30,20,75
01195,Jasseron,84,01,301,4,8,50,0,4,0,19,9,23,32,32,6,0,34,80,0,4,0,8,0,12
01196,Jayat,84,01,263,4,36,24,8,4,4,48,0,12,40,20,27,0,12,24,0,4,4,12,0,19
01197,Journans,84,01,36,0,0,8,0,4,0,8,4,0,0,0,0,0,0,12,0,4,0,0,0,4
01198,Joyeux,84,01,31,0,16,0,0,0,0,0,0,0,4,0,4,0,0,8,0,0,0,0,0,0
01199,Jujurieux,84,01,454,16,19,83,12,0,15,46,33,20,47,40,20,4,20,80,0,0,4,12,4,19
01200,Labalme,84,01,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
01202,Lagnieu,84,01,"2,155",97,9,153,39,40,28,194,125,207,362,273,218,20,171,219,6,17,12,49,12,96
01203,Laiz,84,01,379,13,12,40,12,4,0,111,8,16,28,20,78,8,4,24,0,4,0,4,0,8
01204,Le Poizat-Lalleyriat,84,01,103,0,12,0,0,0,0,4,4,0,36,8,4,4,0,32,0,0,0,0,0,0
01206,Lantenay,84,01,16,0,0,0,0,4,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0
01207,Lapeyrouse,84,01,54,4,14,8,0,4,0,0,0,0,12,4,0,0,0,8,0,4,0,0,0,4
01208,Lavours,84,01,24,8,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0
01209,Léaz,84,01,55,4,8,0,0,0,0,0,4,0,4,4,8,8,0,15,0,0,0,0,0,0
01210,Lélex,84,01,162,16,4,12,0,0,17,28,0,4,12,12,0,7,4,46,0,0,0,0,7,7
01211,Lent,84,01,196,12,24,51,0,0,4,8,4,11,7,17,12,8,17,23,0,0,0,5,4,9
01212,Lescheroux,84,01,110,8,24,12,0,0,4,8,0,4,15,4,8,0,0,24,0,0,0,0,0,0
01213,Leyment,84,01,378,8,8,32,4,4,0,18,51,35,16,22,161,4,0,16,0,0,0,12,0,12
01214,Leyssard,84,01,8,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
01215,Surjoux-Lhopital,84,01,12,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0
01216,Lhuis,84,01,201,32,16,12,8,0,0,0,8,20,40,20,4,0,8,32,8,0,0,4,0,12
01219,Lompnas,84,01,36,4,12,8,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,4,0,4
01224,Loyettes,84,01,884,11,12,139,59,25,4,30,32,58,186,141,86,28,15,58,19,13,4,34,4,75
01225,Lurcy,84,01,36,0,4,8,8,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,4
01227,Magnieu,84,01,32,0,20,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,4,0,0,4
01228,Maillat,84,01,329,8,8,32,8,0,0,4,8,16,87,19,78,8,8,45,4,0,0,4,0,8
01229,Malafretaz,84,01,161,12,8,51,0,0,0,8,13,19,5,8,12,0,4,23,0,0,0,4,0,4
01230,Mantenay-Montlin,84,01,51,0,16,4,4,0,0,0,0,0,8,4,4,0,0,12,4,0,0,0,0,4
01231,Manziat,84,01,630,12,39,40,24,12,0,27,7,40,167,60,124,8,8,63,8,8,0,4,0,20
01232,Marboz,84,01,519,27,43,46,7,4,0,38,37,53,110,51,8,0,37,58,0,0,0,4,0,4
01233,Marchamp,84,01,8,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4
01234,Marignieu,84,01,28,0,0,12,4,0,0,0,0,4,0,0,0,0,0,8,4,0,0,0,0,4
01235,Marlieux,84,01,173,8,20,12,4,7,0,12,20,8,20,8,8,0,4,41,0,3,0,4,0,7
