Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2016,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 26/07/2019       Géographie au 01/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés (%),1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile  (€),4e décile (€) ,6e décile (€),7e décile (€),8e décile (€) ,9e décile (€),Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements (%),dont part des indemnités chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des autres revenus (%)
CODGEO,LIBGEO,NBMEN16,NBPERS16,NBUC16,PMIMP16,Q116,Q216,Q316,Q3_Q1,D116,D216,D316,D416,D616,D716,D816,D916,RD,S80S2016,GI16,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PAUT16
1119,Cergy,151524,403648,260671.6,63.4,14692,23352,32666,17974,7936,12676,16586,20084,26702,30444,35324,43562,5.5,6.814,0.333,77.0,71.1,3.1,2.9,19.8,3.2
2101,Charleville-Mézières,95903,216623,149316.2,42.1,11362,18154,25184,13822,5090,9668,12948,15642,20664,23518,27284,33746,6.6,8.596,0.351,63.6,55.3,3.4,4.9,31.4,5.0
2102,Troyes,133868,298949,206366.6,47.8,12718,19384,26708,13990,6264,10948,14280,16994,21868,24808,28998,37036,5.9,7.936,0.354,64.2,53.1,3.4,7.7,29.7,6.1
2103,Châlons-en-Champagne,44133,99965,68582.6,52.2,13884,20510,27810,13926,7524,12150,15428,18090,22968,25974,30010,37318,5.0,6.525,0.326,66.2,57.3,2.6,6.3,28.6,5.2
2104,Épernay,47382,106387,73574.4,57.4,15076,21740,30278,15202,9040,13462,16574,19216,24576,28086,33166,43972,4.9,6.643,0.351,65.0,48.7,2.5,13.8,25.8,9.2
2105,Reims,147434,333606,228798.3,52.3,13202,20722,29380,16178,6342,11236,14864,17914,23680,27192,32116,41692,6.6,8.818,0.372,68.7,58.3,2.8,7.6,25.6,5.7
2106,Chaumont - Langres,48990,105797,74368.8,46.5,13924,19674,26084,12160,8348,12434,15222,17494,21884,24500,27984,34338,4.1,5.450,0.303,61.5,53.4,2.6,5.6,34.0,4.5
2107,Vitry-le-François - Saint-Dizier,48357,108418,74993.2,42.6,12092,18192,24644,12552,6264,10480,13486,15916,20462,23078,26510,32604,5.2,6.878,0.329,61.4,52.9,3.5,5.0,34.1,4.5
2201,Château-Thierry,27731,67086,44992.0,50.8,13574,19860,27034,13460,7874,11992,14930,17566,22388,25278,29158,36690,4.7,6.288,0.330,67.7,56.9,3.2,7.5,26.5,5.8
2202,Tergnier,23502,54471,37084.0,41.5,10666,17596,24352,13686,4538,8820,12224,15050,19988,22734,26330,32236,7.1,8.766,0.348,63.7,56.2,3.7,3.9,32.9,3.4
2203,La Thiérache,23957,55444,37773.3,37.4,9846,16336,22968,13122,3774,8158,11408,13990,18734,21458,24724,30428,8.1,9.612,0.357,61.7,52.2,3.5,6.0,33.1,5.2
2204,Laon,40945,96662,65338.9,44.0,11914,18566,25624,13710,5952,10200,13440,16064,21058,23874,27604,34320,5.8,7.662,0.344,66.0,57.4,3.3,5.3,29.1,4.9
2205,Saint-Quentin,57292,132996,90538.1,43.3,10708,17916,25182,14474,4486,8912,12360,15322,20484,23414,27266,34332,7.7,9.962,0.373,64.6,55.3,3.4,5.9,31.1,4.3
