Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2016,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 26/07/2019       Géographie au 01/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés (%),1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile  (€),4e décile (€) ,6e décile (€),7e décile (€),8e décile (€) ,9e décile (€),Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements (%),dont part des indemnités chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des autres revenus (%)
CODGEO,LIBGEO,NBMEN16,NBPERS16,NBUC16,PMIMP16,Q116,Q216,Q316,Q3_Q1,D116,D216,D316,D416,D616,D716,D816,D916,RD,S80S2016,GI16,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PAUT16
8204,Annonay,22953,52935,36203.7,47.3,14160,19692,25980,11820,8482,12608,15458,17698,21840,24440,27832,33916,4.0,5.357,0.302,63.8,56.1,3.3,4.5,31.6,4.6
8205,Aubenas,43662,93069,65778.4,41.6,12312,18306,25232,12920,6820,10824,13698,16004,20718,23572,27294,33794,5.0,6.496,0.329,54.9,44.6,4.0,6.3,38.5,6.6
8206,Montélimar,80630,183906,126264.5,47.3,12860,19592,27608,14748,6998,11212,14272,17066,22398,25656,30046,37738,5.4,6.956,0.341,62.4,53.2,3.5,5.7,31.5,6.1
8207,Romans-sur-Isère,37515,87629,59547.0,46.4,13154,19650,26762,13608,7274,11526,14594,17208,22130,24970,29098,36460,5.0,6.710,0.338,65.4,57.0,3.4,5.1,28.8,5.8
8208,Valence,151537,345795,237330.4,48.2,13604,19970,27422,13818,7764,11968,15022,17574,22514,25556,29694,37100,4.8,6.320,0.328,64.5,55.9,3.3,5.3,30.0,5.5
8209,Bourgoin-Jallieu,89321,226803,149155.3,51.8,14500,20976,28342,13842,8448,12846,15954,18536,23546,26516,30526,37672,4.5,5.694,0.310,72.8,65.9,3.4,3.5,23.3,3.9
8210,Grenoble,342128,789540,538810.4,56.2,15118,22212,30878,15760,8656,13360,16702,19482,25168,28700,33458,41928,4.8,6.295,0.329,68.9,61.7,2.9,4.3,26.1,5.0
8211,Vienne - Roussillon,92628,224746,150609.1,51.2,14318,20784,28180,13862,8350,12720,15792,18396,23388,26370,30380,37162,4.5,5.776,0.313,68.1,60.5,3.0,4.5,27.2,4.7
8212,Roanne,61741,136341,94741.1,44.3,13632,19196,25592,11960,7806,12070,14950,17138,21374,23948,27572,34156,4.4,5.915,0.317,60.9,53.3,3.1,4.5,34.2,4.9
8213,Villefranche-sur-Saône,103482,257644,170816.4,55.8,15722,22332,30478,14756,9666,14096,17194,19774,25084,28392,33026,41248,4.3,5.581,0.316,70.6,62.9,2.8,4.8,24.2,5.2
8214,Lyon,752399,1755825,1188850.1,57.2,14072,22178,31902,17830,7184,12026,15880,19100,25486,29438,34924,44950,6.3,8.339,0.369,71.7,64.3,3.1,4.3,23.2,5.1
8215,La Tarentaise,48109,107586,74458.4,56.6,15540,21700,28972,13432,9826,13988,16932,19332,24150,27146,31246,38646,3.9,5.214,0.307,68.0,56.3,3.7,7.9,24.7,7.3
8216,Chambéry,126376,287321,197379.3,56.2,15406,22160,30296,14890,9302,13746,16902,19622,24940,28262,32896,41320,4.4,5.886,0.324,66.3,58.3,2.8,5.2,28.0,5.7
8217,La Maurienne,17489,38199,26725.3,55.9,15928,21624,28672,12744,10940,14672,17208,19482,24122,26910,30734,37306,3.4,4.293,0.275,64.1,53.6,3.3,7.2,30.4,5.5
8218,Annecy,127597,296657,202052.9,62.3,17714,25190,35682,17968,11340,15980,19286,22210,28582,32838,39320,52350,4.6,6.106,0.344,72.0,64.7,2.6,4.7,21.6,6.4
8219,Le Genevois Français,164003,390313,261706.0,50.7,17676,30218,49416,31740,8616,15046,20122,24844,36714,44576,55258,72870,8.5,10.871,0.408,80.2,74.5,2.9,2.8,16.0,3.8
8220,La Vallée de l'Arve,24733,60708,40485.8,58.5,15512,22618,31384,15872,9696,13848,17050,19856,25616,29216,34158,43522,4.5,5.921,0.330,73.3,66.0,3.6,3.7,20.8,5.9
8221,Le Mont Blanc,28470,62882,43774.5,60.8,16580,23012,31486,14906,11000,15060,17900,20400,25790,29224,34312,44232,4.0,5.526,0.329,67.1,56.7,2.8,7.7,23.4,9.5
8222,Le Chablais,42502,97266,66523.6,62.1,17530,26072,38880,21350,10898,15600,19284,22596,30158,35452,42910,55992,5.1,6.569,0.350,74.1,66.3,3.1,4.8,20.3,5.6
8301,Montluçon,50982,105367,75247.8,44.0,12810,18964,25594,12784,6416,11166,14202,16656,21294,23982,27556,33976,5.3,6.993,0.329,57.7,49.5,2.8,5.4,38.0,4.3
8302,Moulins,44769,95533,67398.7,45.1,13180,19048,25694,12514,7234,11608,14506,16888,21396,24074,27754,34194,4.7,6.204,0.317,59.6,50.9,2.7,6.1,35.5,4.9
8303,Vichy,62085,128837,91892.6,44.1,12930,19014,25954,13024,6866,11304,14290,16710,21398,24278,28092,35054,5.1,6.876,0.333,57.7,49.5,3.0,5.3,37.6,4.7
8304,Aurillac,37640,79609,56464.7,45.7,14116,19716,26470,12354,9052,12806,15328,17606,22058,24770,28506,35590,3.9,5.269,0.307,61.2,51.5,2.2,7.4,33.3,5.5
8305,Mauriac,13418,26992,19593.1,38.1,12900,17946,24158,11258,8436,11702,13948,15820,20114,22674,25848,31832,3.8,4.958,0.298,54.9,42.1,2.2,10.5,39.6,5.5
8306,Saint-Flour,15518,32870,23328.2,39.6,13210,18260,24586,11376,8732,12028,14205,16216,20402,22977,26402,32318,3.7,4.907,0.298,59.2,46.0,2.3,10.9,34.2,6.6
8307,Brioude,20251,42720,30320.6,38.8,12740,18184,24304,11564,7648,11308,13886,16072,20296,22790,26112,31882,4.2,5.498,0.305,58.2,48.1,3.0,7.1,36.8,5.0
8308,Le Puy-en-Velay,40989,89414,62542.7,44.5,13616,19294,26084,12468,8020,12144,14812,17144,21608,24374,28120,34710,4.3,5.732,0.313,61.6,52.0,2.7,6.9,33.2,5.2
8309,Ambert,9542,19704,14138.3,43.5,13026,18770,25550,12524,7874,11650,14240,16544,21112,23898,27416,34134,4.3,5.651,0.313,57.1,49.1,3.0,5.0,37.7,5.2
8310,Clermont-Ferrand,232959,506030,353720.0,53.0,14682,21444,29458,14776,8340,12966,16182,18880,24174,27438,31922,39872,4.8,6.342,0.328,66.7,59.2,2.6,4.9,28.9,4.4
8311,Issoire,21853,47079,33056.7,45.1,13816,19648,26080,12264,8710,12432,15116,17418,21892,24422,27950,34136,3.9,5.147,0.298,61.8,53.4,3.1,5.3,33.4,4.8
8312,Thiers,20778,45961,32016.1,40.6,12886,18616,25208,12322,7386,11460,14196,16498,20826,23442,27080,33152,4.5,5.964,0.314,62.2,54.2,3.6,4.4,34.0,3.8
9101,Carcassonne,54406,120688,83728.1,40.8,10888,17950,25412,14524,4150,9083,12512,15346,20600,23604,27570,34548,8.3,10.123,0.369,60.5,50.8,3.6,6.1,34.3,5.2
9102,Limoux,19739,41139,29393.8,35.9,10814,17098,23982,13168,4764,9192,12276,14828,19432,22256,25938,32432,6.8,8.675,0.354,51.9,41.3,3.4,7.2,42.1,6.0
9103,Narbonne,75131,159571,112664.5,40.1,11168,17814,25206,14038,4894,9430,12676,15322,20394,23402,27446,34428,7.0,9.064,0.362,55.8,45.2,4.0,6.6,38.5,5.7
9104,Alès,65648,141688,99574.7,37.5,10474,17150,24428,13954,3876,8770,12036,14760,19786,22702,26578,33230,8.6,10.316,0.371,55.4,45.8,3.9,5.7,38.9,5.7
9105,Bagnols-sur-Cèze,28827,66361,45474.9,47.6,12598,19748,27536,14938,6238,10852,14150,17034,22430,25640,29760,37124,6.0,7.354,0.338,64.4,55.9,3.3,5.1,30.8,4.8
9106,Nîmes,155063,360062,245298.0,44.7,11168,18854,27006,15838,4640,9266,12916,16032,21690,24992,29424,37090,8.0,10.262,0.377,64.1,54.7,3.7,5.7,30.2,5.7
9107,Agde - Pézenas,41452,88985,62728.0,40.7,11192,17840,25528,14336,5290,9516,12678,15294,20498,23632,27780,35070,6.6,8.741,0.365,53.2,42.3,4.5,6.4,39.2,7.6
9108,Béziers,104104,229021,159396.8,39.2,10376,17478,25026,14650,4080,8598,12026,14802,20178,23198,27254,34236,8.4,10.667,0.381,57.3,46.0,3.9,7.4,36.4,6.3
9109,Clermont-l'Hérault - Lodève,24431,56735,38625.1,38.4,11354,17840,25024,13670,5656,9730,12836,15406,20274,23258,27138,33992,6.0,7.809,0.348,62.3,51.7,4.3,6.4,31.8,5.9
9110,Ganges,21146,45129,31841.3,37.0,11086,17336,24416,13330,5222,9418,12448,14984,19794,22622,26462,33214,6.4,8.113,0.349,55.6,45.3,4.0,6.3,38.5,5.9
9111,Montpellier,289061,644721,445698.2,50.9,12650,20788,30174,17524,5832,10634,14484,17746,24006,27862,33022,42352,7.3,9.476,0.377,67.3,57.2,3.7,6.4,26.6,6.1
9112,Sète,47794,102094,71966.6,43.7,11780,18746,26570,14790,5702,10054,13382,16114,21512,24668,28960,36638,6.4,8.516,0.361,57.5,47.5,3.8,6.1,36.6,5.9
9113,La Lozère,32884,70722,49715.9,44.6,13548,19204,25810,12262,8390,12134,14790,17026,21504,24128,27956,34386,4.1,5.422,0.308,61.2,50.3,2.4,8.5,32.7,6.1
9114,Céret,35364,71907,51960.2,44.5,12440,19114,26756,14316,6658,10812,13966,16592,21702,24926,29110,36634,5.5,7.322,0.346,46.7,37.3,3.5,6.0,46.1,7.2
9115,Perpignan,157698,342156,239372.1,42.2,10764,18008,25892,15128,4100,8912,12424,15294,20812,23994,28196,35658,8.7,10.967,0.383,58.7,48.1,3.9,6.7,35.3,6.0
9116,Prades,19386,40845,28970.4,40.2,11382,17740,24868,13486,5642,9846,12760,15360,20368,23142,26914,33446,5.9,7.554,0.341,56.8,46.2,3.8,6.8,37.4,5.8
9301,Digne-les-Bains,32954,69221,49181.7,45.7,12732,19258,26698,13966,6940,11158,14174,16814,21912,24908,28816,35438,5.1,6.582,0.325,57.8,48.8,3.4,5.5,36.4,5.8
9302,Manosque,37684,82836,57733.7,46.7,13046,19792,28006,14960,7096,11404,14442,17194,22542,25852,30456,38260,5.4,7.069,0.345,57.9,48.2,3.4,6.3,33.7,8.4
9303,Briançon,15798,33667,23722.4,49.9,14090,19842,26790,12700,8912,12650,15292,17578,22268,25196,29078,36236,4.1,5.288,0.308,61.8,49.8,4.2,7.9,30.9,7.3
9304,Gap,48300,103613,72910.1,47.8,13684,19772,27114,13430,8128,12180,14976,17384,22302,25266,29396,36510,4.5,5.855,0.318,59.6,49.2,3.4,7.0,33.9,6.5
9305,Cannes - Antibes,195686,420964,295978.4,55.9,14210,21968,32058,17848,7856,12426,15856,18914,25340,29480,35390,45974,5.9,7.983,0.375,62.4,53.6,3.3,5.5,28.6,9.0
9306,Menton - Vallée de la Roya,40927,86613,61278.4,57.8,14836,22236,31640,16804,8820,13208,16400,19287,25435,29298,34606,44300,5.0,6.978,0.356,67.7,60.5,3.0,4.2,26.1,6.2
9307,Nice,294721,633763,445061.7,54.1,13136,21224,30978,17842,6268,11172,14888,18118,24540,28510,34042,44354,7.1,9.529,0.388,64.5,55.1,3.1,6.3,27.6,7.9
9308,Aix-en-Provence,171930,399043,272958.8,57.6,15616,23520,33834,18218,9140,13808,17280,20424,27036,31304,36988,47642,5.2,6.946,0.353,66.7,58.5,3.0,5.2,25.4,7.9
9309,Arles,36215,82456,56681.4,45.5,11718,18942,27044,15326,5802,9924,13310,16204,21828,25026,29506,37616,6.5,8.749,0.370,62.6,52.8,3.8,6.0,30.0,7.4
9310,Marseille - Aubagne,561233,1295839,883198.3,50.6,11144,20016,29678,18534,3878,8972,13148,16698,23396,27308,32554,41978,10.8,13.183,0.404,67.3,57.9,3.5,5.9,26.8,5.9
9311,Istres - Martigues,59116,137457,93673.4,51.4,13330,20674,28776,15446,6968,11494,14922,17864,23440,26764,31148,38330,5.5,6.975,0.330,68.0,60.6,3.6,3.8,28.1,3.9
9312,Salon-de-Provence,52468,125146,84415.1,51.8,13948,21246,29954,16006,7738,12204,15566,18402,24188,27788,32514,40484,5.2,6.712,0.336,69.8,62.0,3.5,4.2,25.1,5.1
9313,Draguignan,52662,119519,82393.3,47.2,12672,19700,27490,14818,6376,10974,14244,17076,22440,25574,29824,37220,5.8,7.647,0.347,57.6,48.3,3.4,6.0,35.8,6.6
9314,Fréjus - Saint-Raphaël,86990,184988,131087.6,54.7,13938,21292,30720,16782,7798,12186,15536,18458,24440,28268,33777,44322,5.7,7.980,0.378,51.9,42.1,3.3,6.5,37.1,11.0
9315,Toulon,285776,620696,435309.2,51.0,13398,20842,29322,15924,6668,11488,15040,18000,23766,27224,31928,40306,6.0,7.901,0.354,58.7,49.7,3.2,5.8,34.6,6.7
9316,Cavaillon - Apt,34076,77367,53302.0,44.2,11504,18544,26606,15102,6168,9982,13004,15900,21286,24574,29216,38004,6.2,8.282,0.373,58.9,48.2,3.9,6.9,32.6,8.5
9317,Orange,40233,95735,64661.0,44.7,11854,18768,26226,14372,5952,10122,13442,16184,21368,24436,28543,35622,6.0,7.757,0.350,63.9,54.5,3.8,5.6,30.1,6.0
9401,Ajaccio,41590,88493,62755.8,53.7,13772,21432,30704,16932,7562,11938,15428,18536,24692,28434,33548,42430,5.6,7.493,0.359,63.6,54.8,2.4,6.4,29.9,6.5
9402,Porto-Vecchio,11702,26736,18379.6,46.4,11376,18454,26938,15562,6364,9820,12918,15674,21338,24860,29726,38766,6.1,8.473,0.388,61.3,48.6,4.1,8.6,27.8,10.9
9403,Sartène - Propriano,4294,9179,6480.0,43.1,11284,18522,26948,15664,5846,9736,12988,15762,21438,24816,29674,37124,6.4,8.218,0.364,60.3,48.7,3.5,8.2,32.5,7.2
9404,Bastia,47151,100826,71152.5,44.4,11328,18980,27688,16360,5590,9612,13012,16024,22024,25548,30376,38992,7.0,9.505,0.385,64.3,53.4,2.9,8.0,29.5,6.2
9405,Calvi - L'Île-Rousse,9359,19785,14007.8,43.0,11214,17830,26378,15164,5862,9580,12646,15178,20696,24142,28949,37396,6.4,8.806,0.386,59.1,44.1,3.9,11.1,32.0,8.9
9406,Corte,4368,8908,6415.7,43.9,11616,18765,26828,15212,6060,9960,13058,15982,21694,24974,29108,36220,6.0,7.610,0.350,63.0,52.5,2.5,8.0,31.5,5.5
9407,Ghisonaccia - Aléria,6019,13727,9438.1,40.5,10606,17678,25138,14532,5394,8924,11928,14632,20362,23234,27752,35176,6.5,8.667,0.375,61.4,49.2,3.3,8.9,32.6,6.0
