Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des niveaux de vie et composition du revenu disponible - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zones d'emplois 2010,,Découpage géographique au 01/01/2013,,,,,Sommaire,,Documentation,,,,,,,,,,,,,,,,,,,
©Insee,"Sources : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,Date de première mise ligne le 02/06/2015,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,nombre de ménages fiscaux,nombre de personnes dans les ménages fiscaux,nbre d'unités de consommation dans les ménages fiscaux,1er quartile,médiane,3e quartile,Ecart interquartile,1er décile,2e décile,3e décile,4e décile,6e décile,7e décile,8e décile,9e décile,rapport inter-décile 9e décile/1er decile,S80/20,indice de gini,"Part des salaires, traitements ou chômage",Part des revenus d'activités non salariées,"Part des pensions, retraites et rentes",Part des revenus du patrimoine,Part de l'ensemble des prestations sociales ,dont part des prestations familiales,dont part des minimas sociaux,dont part des prestations logement,Part des impôts
CODGEO,LIBGEO,NBMEN12,NBPERS12,NBUC12,Q112,Q212,Q312,Q3_Q1,D112,D212,D312,D412,D612,D712,D812,D912,RD,S80S2012,GI12,PTSAC12,PBEN12,PPEN12,PPAT12,PPSOC12,PPFAM12,PPMINI12,PPLOGT12,PIMPOT12
2412,Tours,227766.0,515646.5,354214.8,15243.2,20074.8,26539.5,11296.4,11372.0,14143.1,16228.7,18154.0,22217.3,24846.5,28643.3,35528.0,3.1,3.9,0.3,66.1,5.6,28.4,11.2,4.8,2.2,1.3,1.3,-16.1
2413,Blois,76310.0,175258.5,119879.7,15111.9,19886.0,26105.3,10993.4,11105.3,14014.2,16117.2,17990.0,22002.9,24539.0,28115.0,34672.0,3.1,3.8,0.3,62.7,5.9,30.7,11.5,4.6,2.2,1.2,1.2,-15.4
2414,Romorantin-Lanthenay,25752.0,56417.0,39432.5,14163.5,18549.0,23839.0,9675.5,10510.7,13157.4,15133.3,16942.0,20312.0,22484.1,25584.7,31437.3,3.0,3.7,0.3,53.6,6.0,37.9,11.6,4.9,2.1,1.5,1.3,-14.0
2415,Vendôme,29349.0,65876.0,45522.0,15009.7,19298.1,25035.7,10026.0,11444.0,14034.6,15950.0,17622.0,21214.0,23523.2,26950.0,33209.3,2.9,3.6,0.3,58.0,8.5,32.2,11.9,4.4,2.1,1.1,1.1,-15.0
2416,Gien,33403.0,75867.5,52130.6,14425.4,19159.6,24951.0,10525.6,10557.2,13337.9,15474.0,17326.2,21087.0,23479.5,26857.8,33043.3,3.1,3.8,0.3,59.5,6.0,32.6,11.5,5.0,2.3,1.4,1.4,-14.6
2417,Montargis,54637.0,126684.0,86233.6,14276.7,19013.3,24858.7,10582.0,10309.6,13184.4,15275.3,17173.0,21010.0,23407.1,26743.6,32747.5,3.2,4.0,0.3,60.0,6.1,32.4,11.2,5.3,2.5,1.4,1.4,-15.0
2418,Orléans,197425.0,471386.0,317023.8,15652.3,20852.0,27682.0,12029.7,11527.0,14468.0,16716.7,18779.0,23119.0,25926.0,29792.8,36704.0,3.2,3.9,0.3,69.1,5.3,26.2,11.5,4.5,2.3,1.0,1.2,-16.6
2419,Pithiviers,21173.0,52521.5,34879.0,15047.3,19696.8,25370.5,10323.1,11334.0,14026.8,16076.0,17907.7,21591.9,23925.6,27110.0,33226.7,2.9,3.6,0.3,65.4,7.1,26.0,11.4,4.8,2.7,1.0,1.1,-14.7
2501,Bayeux,22480.0,52076.0,35560.5,14381.3,18832.9,24543.4,10162.1,11019.6,13450.8,15330.0,17068.8,20762.7,23132.6,26401.7,32749.5,3.0,3.7,0.3,57.8,8.1,32.0,10.7,5.4,2.5,1.4,1.4,-14.0
2502,Caen,194721.0,454285.0,308552.5,15039.0,19839.6,26068.0,11029.0,11295.3,13966.0,16050.7,17950.0,21932.0,24482.0,28061.7,34691.3,3.1,3.8,0.3,66.0,6.0,27.4,11.0,5.2,2.4,1.3,1.5,-15.6
2503,Honfleur,24480.0,52763.5,37087.7,14465.4,19357.0,26749.0,12283.6,10842.4,13386.7,15501.4,17359.5,21740.8,24703.6,29338.7,38446.8,3.5,4.7,0.3,55.0,8.3,33.6,16.7,4.0,1.8,1.0,1.2,-17.6
2504,Lisieux,29666.0,68593.0,46774.9,13643.5,17890.0,23512.4,9868.9,10092.3,12618.0,14567.0,16255.3,19831.9,22080.5,25344.0,31373.0,3.1,3.9,0.3,59.8,6.7,30.6,10.6,6.2,2.8,1.7,1.8,-13.9
2505,Vire,17059.0,38824.0,26709.6,13857.5,17836.2,22639.5,8782.0,10470.0,12889.0,14720.4,16316.0,19485.2,21462.0,24147.8,29264.0,2.8,3.6,0.3,58.4,7.8,30.2,11.2,5.5,2.6,1.4,1.5,-13.1
2506,Avranches,39391.0,88495.5,61178.6,14372.7,18373.0,23277.3,8904.7,11001.5,13453.0,15200.0,16797.0,20047.8,22035.5,24828.7,30114.4,2.7,3.4,0.2,56.1,8.6,31.1,12.2,5.1,2.4,1.3,1.3,-13.1
2507,Cherbourg-Octeville,88111.0,202925.5,138895.5,14411.9,18855.0,24700.0,10288.1,11030.0,13434.0,15344.2,17085.5,20829.0,23210.6,26491.0,32049.0,2.9,3.6,0.3,63.8,6.1,29.1,9.6,5.7,2.5,1.7,1.6,-14.3
2508,Coutances,26001.0,58655.0,40454.7,14038.7,18192.1,23652.5,9613.8,10739.0,13189.5,14912.0,16606.6,19983.1,22206.0,25378.5,31878.0,3.0,3.8,0.3,51.6,10.9,33.9,12.2,5.4,2.5,1.5,1.4,-14.0
2509,Granville,23876.0,51196.0,36076.6,14705.3,19105.0,25497.3,10792.0,11225.2,13741.3,15616.7,17357.0,21124.0,23770.0,27732.7,35212.7,3.1,4.0,0.3,49.8,8.3,38.7,14.0,4.4,2.0,1.2,1.3,-15.2
2510,Saint-Lô,36730.0,84625.5,57776.1,14518.8,18837.2,23992.2,9473.3,11212.0,13587.0,15448.3,17120.5,20568.7,22673.0,25549.5,30910.0,2.8,3.4,0.2,62.8,6.8,28.5,10.1,5.5,2.6,1.4,1.4,-13.7
2511,Argentan,17704.0,39727.5,27430.0,13756.0,18071.5,23179.5,9423.5,10222.1,12790.3,14712.0,16465.0,19808.7,21838.3,24805.0,30146.7,2.9,3.6,0.3,57.3,7.6,32.4,10.5,5.7,2.5,1.5,1.6,-13.5
2512,Flers,43597.0,98323.5,67800.4,14074.3,18059.5,22948.0,8873.7,10593.5,13128.1,14980.0,16541.2,19706.9,21672.9,24509.9,29592.5,2.8,3.5,0.2,57.0,7.1,31.9,11.9,5.4,2.6,1.4,1.5,-13.3
2513,L'Aigle,14653.0,33278.0,22853.1,13557.3,17989.6,23416.0,9858.7,10030.3,12508.0,14480.0,16183.3,19910.3,22041.6,24995.3,30776.7,3.1,3.8,0.3,56.1,7.6,32.9,11.1,6.0,2.6,1.7,1.7,-13.7
2601,Beaune,21546.0,49605.0,33982.0,15384.7,20356.0,27143.9,11759.2,11560.0,14301.0,16420.7,18377.5,22512.0,25365.0,29488.0,37715.2,3.3,4.3,0.3,61.5,9.8,26.5,15.9,3.7,1.9,0.9,0.9,-17.4
