Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus disponibles par unité de consommation et composition du revenu disponible - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 26/07/2019       Géographie au 01/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile (€),4e décile (€),6e décile (€),7e décile (€),8e décile (€),9e décile (€),Rapport interdécile 9e décile/1er decile,S80/20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements(%),dont part des indemnités chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des revenus du patrimoine et autres revenus (%),Part de l'ensemble des prestations sociales (%),dont part des prestations familiales (%),dont part des minima sociaux (%),dont part des prestations logement (%),Part des impôts (%)
CODGEO,LIBGEO,NBMEN16,NBPERS16,NBUC16,Q116,Q216,Q316,Q3_Q1,D116,D216,D316,D416,D616,D716,D816,D916,RD,S80S2016,GI16,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PPAT16,PPSOC16,PPFAM16,PPMINI16,PPLOGT16,PIMPOT16
2103,Châlons-en-Champagne,44119,99965,68574.2,15343,20517,26456,11113,11236,14111,16504,18577,22559,24973,28327,34472,3.1,3.716,0.255,70.7,61.2,2.7,6.7,29.7,10.0,5.7,2.4,1.9,1.5,-16.1
2104,Épernay,47362,106370,73556.4,16099,21478,28440,12342,11900,14811,17247,19399,23747,26617,30760,39504,3.3,4.219,0.286,72.1,54.1,2.6,15.4,27.7,15.2,4.1,1.8,1.3,1.0,-19.1
2105,Reims,147357,333517,228714.1,14860,20654,27743,12883,10763,13646,16080,18382,23070,25913,30071,37782,3.5,4.358,0.289,74.4,63.2,2.9,8.3,27.1,10.0,6.1,2.3,2.1,1.7,-17.6
2106,Chaumont - Langres,48974,105782,74353.1,15209,19933,25167,9958,11486,14132,16213,18127,21761,23867,26739,32108,2.8,3.386,0.238,65.1,56.5,2.6,6.0,35.1,8.6,5.4,2.1,2.0,1.3,-14.2
2107,Vitry-le-François - Saint-Dizier,48354,108437,74998.4,14029,18691,23961,9932,10532,12985,14964,16839,20555,22652,25557,30710,2.9,3.503,0.246,63.6,55.0,3.4,5.2,34.4,8.4,7.2,2.6,2.8,1.8,-13.6
2201,Château-Thierry,27714,67061,44971.6,15129,20104,25811,10682,11248,14042,16213,18214,22109,24398,27616,33746,3.0,3.728,0.258,72.6,61.2,3.3,8.1,27.8,10.0,5.7,2.6,1.9,1.3,-16.1
2202,Tergnier,23508,54504,37101.5,13207,18160,23661,10454,9837,12166,14189,16204,20158,22393,25207,30090,3.1,3.608,0.251,65.1,57.5,3.6,4.0,32.9,6.5,8.7,3.1,3.4,2.3,-13.2
2203,La Thiérache,23967,55492,37798.8,12586,17267,22626,10040,9371,11619,13509,15341,19241,21375,24127,28718,3.1,3.692,0.255,62.0,52.6,3.3,6.1,32.4,8.8,9.4,3.3,3.8,2.4,-12.6
2204,Laon,40938,96664,65335.2,13956,18978,24731,10775,10316,12880,15031,17018,21046,23397,26377,31989,3.1,3.748,0.259,68.9,60.1,3.3,5.6,29.6,8.8,7.3,2.8,2.7,1.8,-14.6
2205,Saint-Quentin,57287,133005,90536.5,13325,18404,24290,10965,9864,12262,14375,16393,20484,22853,26001,31890,3.2,3.998,0.274,66.8,57.3,3.4,6.1,31.4,8.0,8.3,2.9,3.3,2.2,-14.5
2206,Soissons,39061,91649,62216.3,14272,19232,24921,10649,10557,13170,15291,17237,21219,23530,26666,32500,3.1,3.775,0.261,67.9,59.3,3.4,5.2,31.1,8.7,7.0,2.7,2.5,1.8,-14.7
2207,Beauvais,99969,250381,165745.3,15405,20670,26419,11014,11226,14170,16513,18665,22698,25017,28113,33521,3.0,3.569,0.246,75.3,67.5,3.3,4.5,26.6,7.2,6.1,2.7,2.0,1.4,-15.2
2208,Compiègne,81662,199110,133238.4,15754,21141,27537,11783,11628,14541,16923,19080,23344,25914,29543,36055,3.1,3.761,0.259,75.9,68.2,3.2,4.4,27.3,8.0,5.3,2.4,1.7,1.2,-16.5
2209,Abbeville,29470,67745,46468.6,14000,18843,24552,10552,10268,12860,14993,16909,20792,23178,26187,32492,3.2,3.883,0.267,64.6,54.2,3.1,7.2,33.3,10.0,7.0,2.4,3.0,1.7,-14.9
2210,Amiens,156888,365001,248365.8,14484,19807,25978,11494,10575,13303,15593,17742,21961,24472,27871,34107,3.2,3.966,0.270,72.4,63.0,3.2,6.2,28.2,8.5,6.9,2.4,2.7,1.7,-16.0
2211,Péronne,23195,55053,37241.7,13858,18509,23923,10064,10347,12757,14760,16715,20359,22542,25664,31032,3.0,3.673,0.257,67.5,57.1,3.7,6.7,30.9,8.6,7.3,2.7,2.9,1.7,-14.3
2301,Bernay,25300,57205,39413.9,15008,19915,25489,10481,11054,13925,16036,18053,21845,24149,27178,32629,3.0,3.571,0.248,65.0,56.2,3.3,5.5,34.6,8.8,5.9,2.3,2.2,1.4,-14.3
2302,Évreux,90186,216101,145253.5,15475,20692,26629,11155,11290,14271,16623,18687,22736,25150,28444,34138,3.0,3.655,0.252,72.3,64.5,3.4,4.5,29.3,7.9,5.9,2.5,2.0,1.4,-15.4
2303,Pont-Audemer,22358,52612,35613.9,15149,20027,25595,10447,11417,14045,16201,18152,21995,24306,27355,33002,2.9,3.536,0.248,70.6,61.9,3.4,5.2,29.9,8.2,5.8,2.4,2.0,1.4,-14.5
2304,Vernon - Gisors,49656,122401,81606.5,15746,20969,27162,11416,11629,14563,16878,18971,23072,25558,29044,35259,3.0,3.643,0.252,74.2,66.5,3.5,4.1,28.5,7.5,5.4,2.5,1.7,1.2,-15.6
2305,Dieppe - Caux maritime,53093,121467,83371.0,14922,19703,25356,10434,11257,13857,15915,17900,21652,23949,27276,33200,2.9,3.560,0.250,66.9,58.1,3.1,5.7,33.0,8.0,6.4,2.3,2.5,1.6,-14.3
2306,Le Havre,168754,391159,266201.5,15016,20296,26505,11489,11084,13853,16140,18245,22463,24961,28368,34339,3.1,3.728,0.258,71.2,63.3,3.4,4.5,30.0,7.2,6.9,2.5,2.6,1.8,-15.3
2307,Rouen,345454,797800,543439.5,15305,20712,26991,11685,11114,14084,16482,18665,22882,25404,28914,35237,3.2,3.840,0.262,73.2,65.3,3.2,4.7,28.8,7.5,6.3,2.4,2.3,1.7,-15.8
