Revenus fiscaux localisés des ménages - Année 2007,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFip Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Intervalle inter-quartiles (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport inter-déciles,Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,NBUC07,RFUCQ107,RFUCQ207,RFUCQ307,RFUCIQ07,RFUCD107,RFUCD207,RFUCD307,RFUCD407,RFUCD607,RFUCD707,RFUCD807,RFUCD907,RFUCRD07,RFUCET07,RFUCMO07,RFUCGI07
2441,24,Tours,261680.7,12558,18123,25098,12540,7496,11157,13798,15979,20505,23330,27308,34698,4.6,17179.23,20792.77,0.3354
2442,24,Amboise,49355.1,12824,17863,24031,11207,8552,11593,13900,15873,19968,22452,25896,32414,3.8,15306.45,20157.90,0.3058
2443,24,Loches,33997.3,11253,15764,21459,10206,7352,10135,12255,14025,17684,20051,23166,29044,4.0,14612.19,17939.54,0.3164
2444,24,Chinon,39704.7,11363,16089,22136,10773,7447,10301,12383,14207,18136,20607,23977,29967,4.0,12838.35,18208.11,0.3133
2451,24,Blois,123479.5,12481,17858,24342,11861,7690,11154,13663,15803,20057,22733,26344,32929,4.3,15107.58,20048.19,0.3199
2452,24,Vendôme,47943.5,12301,16917,22718,10417,8008,11146,13317,15080,18875,21267,24437,30780,3.8,17709.83,19286.32,0.3144
2453,24,Romorantin,48720.0,11646,16545,22458,10812,7303,10427,12715,14713,18555,20991,24273,30337,4.2,15181.16,18724.73,0.3198
2461,24,Orléans,263101.3,13085,19135,26359,13274,7605,11568,14437,16818,21605,24548,28571,35748,4.7,16976.35,21507.65,0.3272
2462,24,Montargis,83934.1,11649,17024,23201,11552,6813,10326,12846,14993,19180,21647,25073,31327,4.6,16008.29,19110.76,0.3303
2463,24,Pithiviers,40377.5,12673,17765,23733,11060,8355,11436,13713,15731,19843,22206,25489,31578,3.8,15939.73,19772.66,0.3005
2464,24,Gien,44710.4,11793,17101,23249,11456,7010,10379,12950,15041,19211,21752,25209,31337,4.5,14633.50,19051.23,0.3220
