Revenus fiscaux des ménages - Année 2001,,,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,,,
"© Insee     Source : Insee-DGI, Revenus fiscaux des ménages",,,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,,,
,,,"Nb de ménages
au RP 1999",PSDC99,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),"Intervalle
inter-quartiles (€)",1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),"Rapport
inter-déciles",Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,MEN99,PSDC99,NBUC01,RFUCQ101,RFUCQ201,RFUCQ301,RFUCIQ01,RFUCD101,RFUCD201,RFUCD301,RFUCD401,RFUCD601,RFUCD701,RFUCD801,RFUCD901,RFUCRD01,RFUCET01,RFUCMO01,RFUCGI01
2413,24,Saint-Amand-Montrond,20587,48187,31389.9,8795,12904,17933,9138,5505,7862,9669,11273,14649,16731,19481,24302,4.4,11710.71,14554.91,0.3256
2414,24,Aubigny,16218,37776,25142.1,9158,13480,18945,9787,5863,8218,10085,11739,15361,17610,20655,26821,4.6,13796.67,15877.79,0.3448
2421,24,Chartres,75461,194152,125871.6,11424,16113,21683,10259,7388,10275,12454,14347,18048,20295,23363,28921,3.9,12617.33,17936.84,0.3019
2422,24,Dreux,43769,120298,75835.7,9459,14518,20169,10710,5443,8222,10581,12605,16523,18828,21895,27417,5.0,13134.58,16281.96,0.3367
2423,24,Châteaudun,23263,56886,37074.5,10321,14396,19382,9061,6835,9396,11149,12780,16075,18117,20835,25965,3.8,11329.28,16084.76,0.2990
2424,24,Nogent-le-Rotrou,15121,36329,23739.0,9688,13793,18551,8863,6239,8735,10549,12200,15438,17340,20035,24909,4.0,11307.20,15387.75,0.3115
2431,24,Châteauroux,49918,117553,77057.5,9617,13997,19233,9616,5992,8594,10560,12300,15808,17907,20821,25865,4.3,15332.60,15732.71,0.3211
2432,24,Argenton-sur-Creuse,21795,49806,33467.8,8482,12299,17063,8581,5468,7613,9298,10811,13919,15859,18504,23522,4.3,10415.64,14026.41,0.3254
2433,24,Issoudun,15133,34852,23305.3,9818,13877,18736,8918,6513,8925,10668,12337,15630,17563,20192,24852,3.8,11543.02,15485.65,0.3046
2434,24,La Châtre,12645,28928,19529.4,8378,12204,17319,8941,5647,7614,9121,10606,14033,16119,18720,23475,4.2,10428.58,14092.25,0.3239
2441,24,Tours,161600,379742,243895.1,10394,15258,21248,10854,6370,9246,11436,13375,17286,19729,23124,29284,4.6,12877.57,17297.42,0.3276
2442,24,Amboise,26429,67683,44802.9,10257,14670,20036,9780,6783,9296,11241,12973,16572,18691,21815,27398,4.0,13125.37,16596.06,0.3106
2443,24,Loches,20154,48773,32011.5,8914,12667,17648,8734,5813,8024,9704,11157,14306,16337,19095,24017,4.1,10553.09,14412.13,0.3184
2444,24,Chinon,23222,57805,37440.0,9083,13094,18238,9155,5908,8159,9942,11532,14868,16976,19813,24757,4.2,10934.48,14832.43,0.3156
2451,24,Blois,73073,177282,115503.2,10505,15163,20779,10274,6429,9379,11492,13348,17071,19340,22510,28103,4.4,11835.09,16940.12,0.3161
2452,24,Vendôme,28437,68014,45334.1,10033,13974,18926,8893,6651,9072,10865,12436,15659,17645,20435,25587,3.8,14407.05,15880.07,0.3088
2453,24,Romorantin,29091,69672,46113.9,9811,14216,19383,9572,6393,8876,10751,12509,16085,18150,20867,25944,4.1,12666.75,15952.77,0.3141
2461,24,Orléans,152572,382314,246871.8,11204,16429,22580,11377,6577,9930,12360,14447,18544,21041,24415,30471,4.6,12989.12,18251.61,0.3187
2462,24,Montargis,47710,114614,76947.0,9755,14418,19884,10129,5838,8617,10729,12615,16334,18536,21439,26807,4.6,12510.92,16155.33,0.3267
2463,24,Pithiviers,22300,57120,37412.6,10474,14894,20222,9749,6873,9405,11374,13150,16815,18900,21898,26842,3.9,13599.70,16666.32,0.3041
2464,24,Gien,26104,64078,42282.2,9812,14451,19766,9954,5957,8669,10825,12659,16357,18478,21372,26504,4.4,12029.29,16054.56,0.3196
2501,25,Caen-Bayeux,192255,485859,304061.3,9585,14383,20157,10572,5782,8476,10624,12528,16401,18737,21922,27561,4.8,13119.99,16305.12,0.3346
2502,25,Lisieux,48715,119715,78301.2,8717,13160,18856,10139,5234,7692,9661,11409,15062,17393,20641,27153,5.2,15179.63,15657.20,0.3643
2503,25,Vire,22755,55463,35826.9,8545,12389,16974,8429,5566,7764,9315,10867,13977,15897,18411,22838,4.1,12342.81,14045.81,0.3228
2504,25,Cherbourg-Octeville,78112,198740,126314.0,8718,13103,18463,9745,5430,7754,9643,11392,14986,17168,19987,24898,4.6,10562.12,14729.25,0.3260
2505,25,Saint-Lô,35661,88213,57426.8,9226,13343,18317,9091,5919,8302,10107,11711,15073,17095,19918,24954,4.2,10394.42,15000.44,0.3149
2506,25,Avranches-Granville,48251,114812,77179.1,9163,13143,18344,9181,6089,8295,9940,11515,14881,17027,20016,25602,4.2,13782.82,15342.66,0.3307
2507,25,Coutances,24375,59516,39339.3,8581,12477,17534,8953,5460,7725,9377,10958,14173,16231,19148,24594,4.5,11215.15,14471.77,0.3332
2508,25,Flers,44919,110532,71966.6,9026,12984,17503,8477,5854,8119,9864,11460,14545,16380,18908,23482,4.0,10603.56,14513.71,0.3119
2509,25,Alençon-Argentan,42870,105607,66843.0,8894,13346,18565,9671,5142,7860,9827,11604,15146,17273,20185,25231,4.9,12150.01,14977.97,0.3366
2510,25,Mortagne-au-Perche-L'Aigle,34106,83736,54438.0,8828,12938,17904,9076,5443,7865,9748,11369,14675,16660,19369,24266,4.5,11090.97,14553.65,0.3255
2610,26,Mâcon,45701,108503,71747.4,9718,14533,20244,10526,6032,8608,10776,12653,16442,18797,22074,28010,4.6,12504.64,16453.29,0.3295
2612,26,Dijon,146174,350448,221210.4,11012,16041,22051,11039,6865,9821,12075,14077,18086,20522,23975,30114,4.4,14477.08,18072.27,0.3195
2613,26,Auxerre,54633,132758,86509.2,9742,14468,20090,10348,5912,8626,10766,12657,16447,18711,21838,27496,4.7,14065.73,16544.24,0.3359
2615,26,Nevers,61880,142539,93182.2,9310,13929,19284,9974,5383,8203,10329,12147,15806,17988,20873,25886,4.8,11676.55,15444.22,0.3272
2641,26,Chalon-sur-Saône,61458,149825,98750.9,9749,14275,19801,10052,6134,8738,10712,12499,16153,18425,21473,26960,4.4,12115.33,16147.62,0.3234
2643,26,Châtillon-sur-Seine,9382,23059,14779.0,8846,12788,17731,8885,5937,8091,9669,11170,14444,16481,19180,24103,4.1,10968.14,14610.07,0.3185
2644,26,Sens,39295,98620,64365.3,10039,14672,19988,9949,6331,8957,11057,12853,16497,18674,21638,26932,4.3,13162.19,16430.24,0.3178
2651,26,Montbard,16930,41117,26648.4,9021,13078,18083,9062,5691,8059,9843,11488,14788,16813,19537,24266,4.3,11354.34,14650.29,0.3183
2652,26,Avallon,18609,45788,29239.4,8827,13153,18308,9481,5498,7880,9728,11469,14904,17010,19899,25349,4.6,14132.44,15068.90,0.3382
2654,26,Cosne-sur-Loire,21628,48154,32553.5,9065,13259,18380,9315,5443,8053,9932,11587,15041,17078,19805,25125,4.6,11546.66,15015.44,0.3314
2656,26,Autun,17574,41612,26949.1,8744,12917,18011,9267,5585,7764,9659,11300,14703,16730,19532,24684,4.4,11377.97,14660.50,0.3282
2660,26,Joigny,22803,56055,36507.3,9076,13576,18866,9790,5514,8057,10047,11831,15433,17566,20372,25606,4.6,11164.08,15229.65,0.3282
2662,26,Decize,15179,34505,23201.8,8640,12578,17329,8689,5318,7709,9480,11004,14273,16190,18684,23033,4.3,10413.37,14026.23,0.3198
2664,26,Le Creusot,22056,53097,34056.7,9188,13254,18062,8875,5592,8177,10030,11628,14985,16940,19557,24265,4.3,9632.28,14629.33,0.3107
2666,26,Beaune,36727,92131,59820.5,9880,14385,20062,10182,6453,8871,10815,12615,16357,18599,21834,28305,4.4,14723.99,17078.35,0.3448
2672,26,Montceau-les-Mines,24192,56356,37495.7,8959,12808,17319,8360,5536,8014,9856,11402,14319,16223,18679,23182,4.2,10233.60,14140.53,0.3080
2680,26,Charollais,36060,86980,57409.2,9024,12747,17447,8423,5996,8181,9820,11278,14378,16268,18899,23632,3.9,9836.48,14340.75,0.3079
2695,26,Louhans,20675,48520,32815.3,8735,12750,17376,8641,6174,7963,9510,11090,14400,16269,18828,23263,3.8,9451.46,14228.23,0.3050
3110,31,Roubaix-Tourcoing,149403,417775,255085.6,7665,12922,18622,10957,3718,6494,8807,10939,14912,17220,20377,26180,7.0,13494.12,14813.80,0.3806
3111,31,Lille,302755,764251,471848.5,9124,14754,21416,12292,4705,7785,10391,12618,17047,19759,23447,30125,6.4,14459.84,16988.88,0.3687
3112,31,Dunkerque,95298,263018,163567.2,8059,12584,18216,10157,4763,7048,8985,10782,14596,16841,19822,24769,5.2,10905.61,14350.09,0.3453
3113,31,Flandre-Lys,41187,116684,73224.7,9322,13618,18855,9533,6063,8359,10215,11875,15422,17560,20402,25509,4.2,11474.77,15404.93,0.3180
3114,31,Douaisis,89335,246987,153793.0,7713,12212,17839,10126,4179,6693,8687,10500,14147,16469,19508,24656,5.9,10973.96,13999.67,0.3583
3115,31,Valenciennois,129722,348994,215531.2,6938,11380,16856,9918,3482,5954,7875,9668,13239,15491,18483,23658,6.8,11233.59,13193.80,0.3757
3116,31,Cambresis,67530,176360,112161.9,8141,12389,17689,9548,4763,7143,9047,10751,14174,16343,19287,24390,5.1,11855.59,14344.62,0.3516
3117,31,Sambre-Avesnois,88672,238466,148675.7,6638,11193,16761,10123,3063,5642,7583,9409,13099,15372,18401,23509,7.7,10617.44,12906.21,0.3821
3121,31,Artois-Ternois,86840,231265,146025.4,8837,13459,19303,10466,5407,7790,9780,11580,15498,17882,21036,26829,5.0,12813.51,15579.24,0.3465
